model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,320.8,0.0,-364.44,9.51,0.44,2227
dqn,TRAIN,1,366.4,0.0,-466.75,12.27,0.46,1994
dqn,TRAIN,2,339.3,307.0,-458.43,11.96,0.47,1869
dqn,TRAIN,3,1027.9,262.0,-1416.50,41.12,0.67,520
dqn,TRAIN,4,546.8,374.7,-594.34,20.92,0.58,1624
dqn,TRAIN,5,523.8,529.9,-491.11,17.85,0.56,1863
dqn,TRAIN,6,528.2,564.6,-504.66,18.53,0.56,1799
dqn,TRAIN,7,530.0,573.3,-481.34,17.61,0.57,1900
dqn,TRAIN,8,518.2,574.6,-446.35,16.47,0.56,1965
dqn,TRAIN,9,480.5,567.8,-431.91,15.72,0.53,1994
dqn,TRAIN,10,430.7,536.5,-369.32,13.75,0.52,2011
dqn,TRAIN,11,387.6,504.1,-339.53,12.33,0.52,2111
dqn,TRAIN,12,408.7,468.4,-349.10,13.04,0.52,2035
dqn,TRAIN,13,368.4,444.9,-299.19,11.30,0.49,2119
dqn,TRAIN,14,321.7,418.4,-257.88,9.68,0.47,2208
dqn,TRAIN,15,328.1,398.4,-254.56,9.38,0.47,2206
dqn,TRAIN,16,299.0,366.7,-236.49,8.26,0.43,2217
dqn,TRAIN,17,292.5,327.7,-240.98,8.37,0.43,2207
dqn,TRAIN,18,315.3,240.0,-253.25,8.92,0.44,2266
dqn,TRAIN,19,259.4,192.0,-192.22,6.72,0.42,2287
dqn,TRAIN,20,251.2,168.6,-179.23,6.22,0.41,2326
dqn,TRAIN,21,230.4,151.5,-159.09,5.48,0.40,2321
dqn,TRAIN,22,241.1,134.2,-165.51,5.80,0.40,2347
dqn,TRAIN,23,219.8,125.3,-145.94,5.00,0.39,2347
dqn,TRAIN,24,226.1,113.8,-146.45,5.16,0.40,2326
dqn,TRAIN,25,214.8,104.1,-136.80,4.81,0.38,2318
dqn,TRAIN,26,204.0,96.5,-122.75,4.28,0.37,2331
dqn,TRAIN,27,210.6,88.6,-131.48,4.57,0.37,2340
dqn,TRAIN,28,210.7,80.7,-134.49,4.66,0.37,2360
dqn,TRAIN,29,206.2,78.4,-125.87,4.36,0.36,2356
dqn,TRAIN,30,193.6,70.8,-114.50,3.93,0.36,2369
dqn,TRAIN,31,199.5,66.7,-120.10,4.10,0.35,2370
dqn,TRAIN,32,195.1,59.9,-120.35,4.12,0.35,2354
dqn,TRAIN,33,194.8,54.5,-119.82,4.04,0.34,2386
dqn,TRAIN,34,183.2,49.0,-107.85,3.56,0.34,2381
dqn,TRAIN,35,176.6,45.8,-100.75,3.33,0.34,2371
dqn,TRAIN,36,176.2,43.7,-98.35,3.26,0.33,2381
dqn,TRAIN,37,176.3,41.1,-99.88,3.29,0.33,2395
dqn,TRAIN,38,170.4,39.4,-93.36,3.05,0.33,2394
dqn,TRAIN,39,170.3,37.7,-93.12,3.03,0.32,2388
dqn,TRAIN,40,174.0,36.0,-97.95,3.17,0.33,2383
