step:3600/3600, q_loss:85.17530822753906, rewards:-631.5257378472222, queue:11.153483992467043, delay:0.2079335588070857, throughput:6626
episode:0/10, real avg travel time:560.0651977060066
intersection:0, mean_episode_reward:-9.186040878295898, mean_queue:17.799999237060547
intersection:1, mean_episode_reward:-6.561775207519531, mean_queue:7.041666507720947
intersection:2, mean_episode_reward:-11.34333324432373, mean_queue:12.958333015441895
intersection:3, mean_episode_reward:-6.5606255531311035, mean_queue:4.986111164093018
intersection:4, mean_episode_reward:-17.976451873779297, mean_queue:20.622222900390625
intersection:5, mean_episode_reward:-3.084047555923462, mean_queue:4.074999809265137
intersection:6, mean_episode_reward:-4.406105995178223, mean_queue:5.244444370269775
intersection:7, mean_episode_reward:-7.5608344078063965, mean_queue:15.086111068725586
intersection:8, mean_episode_reward:-3.234689712524414, mean_queue:6.269444465637207
intersection:9, mean_episode_reward:-51.4533576965332, mean_queue:27.452777862548828
intersection:10, mean_episode_reward:-47.587181091308594, mean_queue:30.63888931274414
intersection:11, mean_episode_reward:-9.102779388427734, mean_queue:6.400000095367432
intersection:12, mean_episode_reward:-6.0614447593688965, mean_queue:5.008333206176758
intersection:13, mean_episode_reward:-35.36537551879883, mean_queue:53.15833282470703
intersection:14, mean_episode_reward:-27.372772216796875, mean_queue:13.70555591583252
intersection:15, mean_episode_reward:-21.48394203186035, mean_queue:56.96111297607422
intersection:16, mean_episode_reward:-11.430011749267578, mean_queue:14.30555534362793
intersection:17, mean_episode_reward:-2.2477784156799316, mean_queue:3.36388897895813
intersection:18, mean_episode_reward:-12.3953857421875, mean_queue:21.4777774810791
intersection:19, mean_episode_reward:-5.387082099914551, mean_queue:7.219444274902344
intersection:20, mean_episode_reward:-7.186249256134033, mean_queue:11.427778244018555
intersection:21, mean_episode_reward:-0.4681943356990814, mean_queue:1.038888931274414
intersection:22, mean_episode_reward:-5.856943130493164, mean_queue:11.852777481079102
intersection:23, mean_episode_reward:-2.688957452774048, mean_queue:3.5916666984558105
intersection:24, mean_episode_reward:-3.5770843029022217, mean_queue:5.791666507720947
intersection:25, mean_episode_reward:-22.126665115356445, mean_queue:21.16111183166504
intersection:26, mean_episode_reward:-12.784256935119629, mean_queue:6.558333396911621
intersection:27, mean_episode_reward:-2.5279009342193604, mean_queue:4.394444465637207
intersection:28, mean_episode_reward:-22.271875381469727, mean_queue:15.469444274902344
intersection:29, mean_episode_reward:-38.43111801147461, mean_queue:28.84722137451172
intersection:30, mean_episode_reward:-9.384286880493164, mean_queue:11.966666221618652
intersection:31, mean_episode_reward:-3.573016405105591, mean_queue:5.886111259460449
intersection:32, mean_episode_reward:-0.46688902378082275, mean_queue:0.31388887763023376
intersection:33, mean_episode_reward:-7.08010721206665, mean_queue:17.608333587646484
intersection:34, mean_episode_reward:-3.0212769508361816, mean_queue:8.933333396911621
intersection:35, mean_episode_reward:-1.2512965202331543, mean_queue:1.9222222566604614
intersection:36, mean_episode_reward:-7.18565559387207, mean_queue:5.988888740539551
intersection:37, mean_episode_reward:-1.1188325881958008, mean_queue:1.0499999523162842
intersection:38, mean_episode_reward:-5.239813804626465, mean_queue:7.449999809265137
intersection:39, mean_episode_reward:-6.961191654205322, mean_queue:16.186111450195312
intersection:40, mean_episode_reward:-2.046668767929077, mean_queue:1.3777778148651123
intersection:41, mean_episode_reward:-3.451019048690796, mean_queue:5.038888931274414
intersection:42, mean_episode_reward:-0.4123610556125641, mean_queue:0.30000001192092896
intersection:43, mean_episode_reward:-8.148942947387695, mean_queue:17.438888549804688
intersection:44, mean_episode_reward:-2.263820171356201, mean_queue:6.452777862548828
intersection:45, mean_episode_reward:-6.062782287597656, mean_queue:9.233333587646484
intersection:46, mean_episode_reward:-8.907500267028809, mean_queue:5.949999809265137
intersection:47, mean_episode_reward:-10.321768760681152, mean_queue:9.675000190734863
intersection:48, mean_episode_reward:-1.97079336643219, mean_queue:4.294444561004639
intersection:49, mean_episode_reward:-0.38666677474975586, mean_queue:0.41111111640930176
intersection:50, mean_episode_reward:-0.18129630386829376, mean_queue:0.2944444417953491
intersection:51, mean_episode_reward:0.0, mean_queue:0.0
intersection:52, mean_episode_reward:-0.22611109912395477, mean_queue:0.22499999403953552
intersection:53, mean_episode_reward:-0.32233330607414246, mean_queue:0.26944443583488464
intersection:54, mean_episode_reward:-5.835000991821289, mean_queue:1.9305555820465088
intersection:55, mean_episode_reward:-41.27362823486328, mean_queue:28.136110305786133
intersection:56, mean_episode_reward:-1.612499475479126, mean_queue:2.9472222328186035
intersection:57, mean_episode_reward:-3.0271527767181396, mean_queue:6.686110973358154
intersection:58, mean_episode_reward:-72.07278442382812, mean_queue:36.18055725097656
step:3600/3600, q_loss:90.74362182617188, rewards:-489.96440972222223, queue:8.114830508474576, delay:0.17200596696239406, throughput:7729
episode:1/10, real avg travel time:415.509380256178
intersection:0, mean_episode_reward:-2.198749542236328, mean_queue:5.413888931274414
intersection:1, mean_episode_reward:-5.10589075088501, mean_queue:4.577777862548828
intersection:2, mean_episode_reward:-30.158897399902344, mean_queue:32.84722137451172
intersection:3, mean_episode_reward:-4.978332996368408, mean_queue:3.9194445610046387
intersection:4, mean_episode_reward:-0.9904755353927612, mean_queue:0.675000011920929
intersection:5, mean_episode_reward:-0.8795233964920044, mean_queue:1.5722222328186035
intersection:6, mean_episode_reward:-7.165740489959717, mean_queue:10.061111450195312
intersection:7, mean_episode_reward:-7.038886070251465, mean_queue:14.063888549804688
intersection:8, mean_episode_reward:-2.2980246543884277, mean_queue:4.888888835906982
intersection:9, mean_episode_reward:-46.521854400634766, mean_queue:23.48611068725586
intersection:10, mean_episode_reward:-49.83475112915039, mean_queue:30.869443893432617
intersection:11, mean_episode_reward:-7.420138359069824, mean_queue:5.27222204208374
intersection:12, mean_episode_reward:-5.585556983947754, mean_queue:4.266666889190674
intersection:13, mean_episode_reward:-25.806886672973633, mean_queue:38.344444274902344
intersection:14, mean_episode_reward:-25.794445037841797, mean_queue:12.916666984558105
intersection:15, mean_episode_reward:-16.736787796020508, mean_queue:42.84166717529297
intersection:16, mean_episode_reward:-9.723549842834473, mean_queue:12.16944408416748
intersection:17, mean_episode_reward:-0.11907413601875305, mean_queue:0.20000000298023224
intersection:18, mean_episode_reward:-9.171669960021973, mean_queue:18.766666412353516
intersection:19, mean_episode_reward:-2.3650689125061035, mean_queue:3.230555534362793
intersection:20, mean_episode_reward:-7.643192768096924, mean_queue:12.241666793823242
intersection:21, mean_episode_reward:-0.28203707933425903, mean_queue:0.675000011920929
