step:3600/3600, q_loss:71.89353942871094, rewards:-587.8369357638888, queue:10.456120527306968, delay:0.20043984393391007, throughput:6206
episode:0/10, real avg travel time:532.404930712214
intersection:0, mean_episode_reward:-6.00447940826416, mean_queue:11.052778244018555
intersection:1, mean_episode_reward:-2.3211112022399902, mean_queue:2.422222137451172
intersection:2, mean_episode_reward:-29.574443817138672, mean_queue:33.761112213134766
intersection:3, mean_episode_reward:-4.395833492279053, mean_queue:3.4861111640930176
intersection:4, mean_episode_reward:-21.72024917602539, mean_queue:24.933332443237305
intersection:5, mean_episode_reward:-5.176424980163574, mean_queue:6.025000095367432
intersection:6, mean_episode_reward:-5.366480350494385, mean_queue:7.525000095367432
intersection:7, mean_episode_reward:-3.0111122131347656, mean_queue:6.030555725097656
intersection:8, mean_episode_reward:-3.4765424728393555, mean_queue:6.69444465637207
intersection:9, mean_episode_reward:-27.667407989501953, mean_queue:14.13611125946045
intersection:10, mean_episode_reward:-21.352235794067383, mean_queue:14.230555534362793
intersection:11, mean_episode_reward:-6.131943702697754, mean_queue:4.641666889190674
intersection:12, mean_episode_reward:-5.3154473304748535, mean_queue:4.6583333015441895
intersection:13, mean_episode_reward:-39.47699737548828, mean_queue:56.74444580078125
intersection:14, mean_episode_reward:-22.130556106567383, mean_queue:11.066666603088379
intersection:15, mean_episode_reward:-17.694765090942383, mean_queue:47.363887786865234
intersection:16, mean_episode_reward:-9.262450218200684, mean_queue:11.48611068725586
intersection:17, mean_episode_reward:-2.70426082611084, mean_queue:3.866666555404663
intersection:18, mean_episode_reward:-6.365069389343262, mean_queue:12.23888874053955
intersection:19, mean_episode_reward:-3.7365262508392334, mean_queue:5.116666793823242
intersection:20, mean_episode_reward:-4.955695152282715, mean_queue:7.93055534362793
intersection:21, mean_episode_reward:-0.3646295666694641, mean_queue:0.7749999761581421
intersection:22, mean_episode_reward:-6.754409313201904, mean_queue:13.494444847106934
intersection:23, mean_episode_reward:-3.230764150619507, mean_queue:4.605555534362793
intersection:24, mean_episode_reward:-1.5626388788223267, mean_queue:2.6083333492279053
intersection:25, mean_episode_reward:-17.612869262695312, mean_queue:17.049999237060547
intersection:26, mean_episode_reward:-15.980388641357422, mean_queue:8.411110877990723
intersection:27, mean_episode_reward:-3.1086418628692627, mean_queue:5.327777862548828
intersection:28, mean_episode_reward:-25.1193790435791, mean_queue:18.538888931274414
intersection:29, mean_episode_reward:-33.9370231628418, mean_queue:25.447221755981445
intersection:30, mean_episode_reward:-8.797140121459961, mean_queue:11.438888549804688
intersection:31, mean_episode_reward:-5.290477275848389, mean_queue:9.005555152893066
intersection:32, mean_episode_reward:-3.339777708053589, mean_queue:3.3805556297302246
intersection:33, mean_episode_reward:-11.526226043701172, mean_queue:28.71666717529297
intersection:34, mean_episode_reward:-1.3936944007873535, mean_queue:4.211111068725586
intersection:35, mean_episode_reward:-0.4872218370437622, mean_queue:0.7777777910232544
intersection:36, mean_episode_reward:-6.110666751861572, mean_queue:5.10277795791626
intersection:37, mean_episode_reward:-3.1639997959136963, mean_queue:3.586111068725586
intersection:38, mean_episode_reward:-4.035369873046875, mean_queue:5.9277777671813965
intersection:39, mean_episode_reward:-5.9009528160095215, mean_queue:13.780555725097656
intersection:40, mean_episode_reward:-2.8744451999664307, mean_queue:2.9972221851348877
intersection:41, mean_episode_reward:-0.9548604488372803, mean_queue:1.2861111164093018
intersection:42, mean_episode_reward:-0.9794443845748901, mean_queue:0.5444444417953491
intersection:43, mean_episode_reward:-1.2216486930847168, mean_queue:2.3694443702697754
intersection:44, mean_episode_reward:-1.4659721851348877, mean_queue:3.625
intersection:45, mean_episode_reward:-8.8998384475708, mean_queue:13.058333396911621
intersection:46, mean_episode_reward:-10.495000839233398, mean_queue:6.413888931274414
intersection:47, mean_episode_reward:-13.466440200805664, mean_queue:12.961111068725586
intersection:48, mean_episode_reward:-2.3511910438537598, mean_queue:5.050000190734863
intersection:49, mean_episode_reward:-0.4694448709487915, mean_queue:0.4722222089767456
intersection:50, mean_episode_reward:-0.17444446682929993, mean_queue:0.27222222089767456
intersection:51, mean_episode_reward:-2.63611102104187, mean_queue:2.644444465637207
intersection:52, mean_episode_reward:-0.3886111080646515, mean_queue:0.375
intersection:53, mean_episode_reward:-0.32766684889793396, mean_queue:0.2805555462837219
intersection:54, mean_episode_reward:-6.9083333015441895, mean_queue:2.694444417953491
intersection:55, mean_episode_reward:-37.55305862426758, mean_queue:25.836111068725586
intersection:56, mean_episode_reward:-1.0217456817626953, mean_queue:1.9500000476837158
intersection:57, mean_episode_reward:-6.387917518615723, mean_queue:14.433333396911621
intersection:58, mean_episode_reward:-83.70442962646484, mean_queue:42.04999923706055
step:3600/3600, q_loss:85.07072448730469, rewards:-427.33880208333335, queue:7.149576271186441, delay:0.15626259784016008, throughput:6824
episode:1/10, real avg travel time:403.41060961313013
intersection:0, mean_episode_reward:-6.062291622161865, mean_queue:11.183333396911621
intersection:1, mean_episode_reward:-0.4970000684261322, mean_queue:0.30000001192092896
intersection:2, mean_episode_reward:-3.652667284011841, mean_queue:3.75
intersection:3, mean_episode_reward:-1.2075011730194092, mean_queue:0.949999988079071
intersection:4, mean_episode_reward:-0.40523797273635864, mean_queue:0.3055555522441864
intersection:5, mean_episode_reward:-5.010951519012451, mean_queue:7.074999809265137
intersection:6, mean_episode_reward:-1.1327775716781616, mean_queue:1.4666666984558105
intersection:7, mean_episode_reward:-1.3322219848632812, mean_queue:2.702777862548828
intersection:8, mean_episode_reward:-2.6181490421295166, mean_queue:5.219444274902344
intersection:9, mean_episode_reward:-17.777223587036133, mean_queue:9.29444408416748
intersection:10, mean_episode_reward:-12.549370765686035, mean_queue:7.39722204208374
intersection:11, mean_episode_reward:-10.612221717834473, mean_queue:7.205555438995361
intersection:12, mean_episode_reward:-7.059554576873779, mean_queue:6.4083333015441895
intersection:13, mean_episode_reward:-37.695335388183594, mean_queue:54.92777633666992
intersection:14, mean_episode_reward:-18.42388916015625, mean_queue:9.227777481079102
intersection:15, mean_episode_reward:-16.67030906677246, mean_queue:44.386112213134766
intersection:16, mean_episode_reward:-10.698222160339355, mean_queue:13.341666221618652
intersection:17, mean_episode_reward:-0.23462967574596405, mean_queue:0.26944443583488464
intersection:18, mean_episode_reward:-4.128124713897705, mean_queue:8.300000190734863
intersection:19, mean_episode_reward:-2.370694875717163, mean_queue:3.2277777194976807
intersection:20, mean_episode_reward:-1.5373612642288208, mean_queue:2.991666555404663
intersection:21, mean_episode_reward:-0.20055554807186127, mean_queue:0.46666666865348816
intersection:22, mean_episode_reward:-2.7640979290008545, mean_queue:5.636111259460449
intersection:23, mean_episode_reward:-1.3988889455795288, mean_queue:1.6805555820465088
intersection:24, mean_episode_reward:-0.21791672706604004, mean_queue:0.3166666626930237
intersection:25, mean_episode_reward:-2.0237960815429688, mean_queue:1.3083332777023315
intersection:26, mean_episode_reward:-18.383529663085938, mean_queue:8.824999809265137
intersection:27, mean_episode_reward:-0.8835181593894958, mean_queue:1.5222222805023193
intersection:28, mean_episode_reward:-23.56361198425293, mean_queue:14.572221755981445
intersection:29, mean_episode_reward:-28.852598190307617, mean_queue:21.613889694213867
intersection:30, mean_episode_reward:-10.54678726196289, mean_queue:13.836111068725586
intersection:31, mean_episode_reward:-2.1234915256500244, mean_queue:3.527777671813965
intersection:32, mean_episode_reward:-0.38888898491859436, mean_queue:0.25833332538604736
intersection:33, mean_episode_reward:-6.208888053894043, mean_queue:15.552778244018555
intersection:34, mean_episode_reward:-1.107082724571228, mean_queue:3.461111068725586
intersection:35, mean_episode_reward:-0.12462969124317169, mean_queue:0.23055554926395416
intersection:36, mean_episode_reward:-6.741668701171875, mean_queue:5.625
intersection:37, mean_episode_reward:-2.534498929977417, mean_queue:3.008333444595337
intersection:38, mean_episode_reward:-1.4299999475479126, mean_queue:2.2527778148651123
intersection:39, mean_episode_reward:-3.6721415519714355, mean_queue:8.586111068725586
intersection:40, mean_episode_reward:-0.388222336769104, mean_queue:0.2777777910232544
intersection:41, mean_episode_reward:-2.972360610961914, mean_queue:4.06944465637207
intersection:42, mean_episode_reward:-0.12388891726732254, mean_queue:0.11388888955116272
intersection:43, mean_episode_reward:-1.4638702869415283, mean_queue:2.5333333015441895
intersection:44, mean_episode_reward:-0.7659721374511719, mean_queue:2.230555534362793
intersection:45, mean_episode_reward:-5.471907138824463, mean_queue:8.13888931274414
intersection:46, mean_episode_reward:-5.722222328186035, mean_queue:4.074999809265137
intersection:47, mean_episode_reward:-10.388662338256836, mean_queue:9.952777862548828
intersection:48, mean_episode_reward:-0.8946429491043091, mean_queue:1.9861111640930176
intersection:49, mean_episode_reward:-0.03583333641290665, mean_queue:0.04722222313284874
intersection:50, mean_episode_reward:-0.00018518519937060773, mean_queue:0.0
intersection:51, mean_episode_reward:0.0, mean_queue:0.0
intersection:52, mean_episode_reward:-0.2363888919353485, mean_queue:0.2361111044883728
intersection:53, mean_episode_reward:-0.0416666679084301, mean_queue:0.03333333507180214
intersection:54, mean_episode_reward:-1.0622222423553467, mean_queue:0.5305555462837219
intersection:55, mean_episode_reward:-32.24444580078125, mean_queue:22.30555534362793
intersection:56, mean_episode_reward:-0.7023810148239136, mean_queue:1.3583333492279053
intersection:57, mean_episode_reward:-3.312152862548828, mean_queue:8.258333206176758
intersection:58, mean_episode_reward:-86.66944122314453, mean_queue:43.46666717529297
step:3600/3600, q_loss:90.69141387939453, rewards:-378.3212673611111, queue:6.577354048964218, delay:0.14787420642802496, throughput:7008
episode:2/10, real avg travel time:378.43093607305934
intersection:0, mean_episode_reward:-3.7376036643981934, mean_queue:9.497221946716309
intersection:1, mean_episode_reward:-0.4916667938232422, mean_queue:0.3722222149372101
intersection:2, mean_episode_reward:-28.39244842529297, mean_queue:31.247222900390625
intersection:3, mean_episode_reward:-0.6704165935516357, mean_queue:0.5777778029441833
intersection:4, mean_episode_reward:-0.27309516072273254, mean_queue:0.20277777314186096
intersection:5, mean_episode_reward:-5.439410209655762, mean_queue:6.675000190734863
intersection:6, mean_episode_reward:-4.930552959442139, mean_queue:7.002777576446533
intersection:7, mean_episode_reward:-1.7463887929916382, mean_queue:3.5138888359069824
intersection:8, mean_episode_reward:-1.9658018350601196, mean_queue:4.1972222328186035
intersection:9, mean_episode_reward:-6.944628715515137, mean_queue:3.547222137451172
intersection:10, mean_episode_reward:-6.071115493774414, mean_queue:3.825000047683716
intersection:11, mean_episode_reward:-10.004444122314453, mean_queue:6.769444465637207
intersection:12, mean_episode_reward:-5.122331142425537, mean_queue:4.769444465637207
intersection:13, mean_episode_reward:-24.647993087768555, mean_queue:36.14444351196289
intersection:14, mean_episode_reward:-14.390558242797852, mean_queue:7.224999904632568
intersection:15, mean_episode_reward:-17.979387283325195, mean_queue:48.19722366333008
intersection:16, mean_episode_reward:-6.663775444030762, mean_queue:8.333333015441895
intersection:17, mean_episode_reward:-0.18629637360572815, mean_queue:0.32499998807907104
intersection:18, mean_episode_reward:-4.030866622924805, mean_queue:8.063888549804688
intersection:19, mean_episode_reward:-1.1608338356018066, mean_queue:1.6138888597488403
intersection:20, mean_episode_reward:-2.0458340644836426, mean_queue:3.9749999046325684
intersection:21, mean_episode_reward:-0.17814813554286957, mean_queue:0.43611112236976624
intersection:22, mean_episode_reward:-1.1257989406585693, mean_queue:2.4555554389953613
intersection:23, mean_episode_reward:-1.2775006294250488, mean_queue:1.6749999523162842
intersection:24, mean_episode_reward:-0.1575000286102295, mean_queue:0.2944444417953491
intersection:25, mean_episode_reward:-1.729629397392273, mean_queue:1.2666666507720947
intersection:26, mean_episode_reward:-12.209250450134277, mean_queue:6.511111259460449
intersection:27, mean_episode_reward:-0.6998143792152405, mean_queue:1.3583333492279053
intersection:28, mean_episode_reward:-20.91568946838379, mean_queue:13.663888931274414
intersection:29, mean_episode_reward:-15.812589645385742, mean_queue:11.841666221618652
intersection:30, mean_episode_reward:-10.774048805236816, mean_queue:13.952777862548828
intersection:31, mean_episode_reward:-1.0971417427062988, mean_queue:1.7166666984558105
intersection:32, mean_episode_reward:-0.3350001573562622, mean_queue:0.27222222089767456
intersection:33, mean_episode_reward:-4.753554821014404, mean_queue:11.897222518920898
intersection:34, mean_episode_reward:-1.0399441719055176, mean_queue:3.305555582046509
intersection:35, mean_episode_reward:-0.100925974547863, mean_queue:0.21388888359069824
intersection:36, mean_episode_reward:-6.063997268676758, mean_queue:5.058333396911621
intersection:37, mean_episode_reward:-3.1025006771087646, mean_queue:4.224999904632568
intersection:38, mean_episode_reward:-1.2111107110977173, mean_queue:1.9388889074325562
intersection:39, mean_episode_reward:-3.1041669845581055, mean_queue:7.2166666984558105
intersection:40, mean_episode_reward:-2.7508885860443115, mean_queue:2.700000047683716
intersection:41, mean_episode_reward:-3.5486576557159424, mean_queue:4.858333110809326
intersection:42, mean_episode_reward:-0.12722225487232208, mean_queue:0.0972222238779068
intersection:43, mean_episode_reward:-0.5587409138679504, mean_queue:1.211111068725586
intersection:44, mean_episode_reward:-0.5207638144493103, mean_queue:1.6472222805023193
intersection:45, mean_episode_reward:-0.7472617030143738, mean_queue:1.0611110925674438
intersection:46, mean_episode_reward:-5.255277633666992, mean_queue:3.4388887882232666
intersection:47, mean_episode_reward:-10.627669334411621, mean_queue:10.11111068725586
intersection:48, mean_episode_reward:-0.717063844203949, mean_queue:1.5805555582046509
intersection:49, mean_episode_reward:-0.02499999664723873, mean_queue:0.03888889029622078
intersection:50, mean_episode_reward:-0.025925925001502037, mean_queue:0.0416666679084301
intersection:51, mean_episode_reward:-2.315833330154419, mean_queue:2.325000047683716
intersection:52, mean_episode_reward:-0.18166667222976685, mean_queue:0.1805555522441864
intersection:53, mean_episode_reward:-0.05199999734759331, mean_queue:0.03611111268401146
intersection:54, mean_episode_reward:-0.21166656911373138, mean_queue:0.125
intersection:55, mean_episode_reward:-33.913333892822266, mean_queue:23.758333206176758
intersection:56, mean_episode_reward:-0.4644840359687805, mean_queue:0.8916666507720947
intersection:57, mean_episode_reward:-3.6529507637023926, mean_queue:8.44444465637207
intersection:58, mean_episode_reward:-80.04109954833984, mean_queue:40.141666412353516
step:3600/3600, q_loss:86.55721282958984, rewards:-365.5463975694444, queue:6.359133709981168, delay:0.1417418054268185, throughput:7175
episode:3/10, real avg travel time:364.6524041811847
intersection:0, mean_episode_reward:-4.132812976837158, mean_queue:10.133333206176758
intersection:1, mean_episode_reward:-0.6592224836349487, mean_queue:0.43888887763023376
intersection:2, mean_episode_reward:-20.286888122558594, mean_queue:22.399999618530273
intersection:3, mean_episode_reward:-0.6602082848548889, mean_queue:0.5472221970558167
intersection:4, mean_episode_reward:-0.24857141077518463, mean_queue:0.18333333730697632
intersection:5, mean_episode_reward:-2.485358238220215, mean_queue:4.863888740539551
intersection:6, mean_episode_reward:-4.891294479370117, mean_queue:6.755555629730225
intersection:7, mean_episode_reward:-2.482778310775757, mean_queue:5.036110877990723
intersection:8, mean_episode_reward:-1.732097864151001, mean_queue:3.469444513320923
intersection:9, mean_episode_reward:-9.816853523254395, mean_queue:5.286110877990723
intersection:10, mean_episode_reward:-8.320001602172852, mean_queue:5.213889122009277
intersection:11, mean_episode_reward:-9.70083236694336, mean_queue:6.561110973358154
intersection:12, mean_episode_reward:-0.8745560646057129, mean_queue:0.7027778029441833
intersection:13, mean_episode_reward:-23.836109161376953, mean_queue:35.03888702392578
intersection:14, mean_episode_reward:-15.7172269821167, mean_queue:7.875
intersection:15, mean_episode_reward:-18.00118637084961, mean_queue:48.21666717529297
intersection:16, mean_episode_reward:-6.318667411804199, mean_queue:7.89722204208374
intersection:17, mean_episode_reward:-0.25481483340263367, mean_queue:0.3333333432674408
intersection:18, mean_episode_reward:-3.2746188640594482, mean_queue:5.574999809265137
intersection:19, mean_episode_reward:-1.2996530532836914, mean_queue:1.7527778148651123
