step:3600/3600, q_loss:40.70952224731445, rewards:-591.7918836805555, queue:12.255696798493409, delay:0.21535987063765302, throughput:4202
episode:0/10, real avg travel time:591.9264635887672
intersection:0, mean_episode_reward:-1.5214581489562988, mean_queue:0.9472222328186035
intersection:1, mean_episode_reward:-5.337225914001465, mean_queue:5.375
intersection:2, mean_episode_reward:-42.47649002075195, mean_queue:48.2055549621582
intersection:3, mean_episode_reward:-6.284792900085449, mean_queue:4.172222137451172
intersection:4, mean_episode_reward:0.0, mean_queue:56.905555725097656
intersection:5, mean_episode_reward:-7.663561820983887, mean_queue:5.161110877990723
intersection:6, mean_episode_reward:-11.824440002441406, mean_queue:15.850000381469727
intersection:7, mean_episode_reward:-5.103333950042725, mean_queue:8.208333015441895
intersection:8, mean_episode_reward:-2.8507416248321533, mean_queue:5.183333396911621
intersection:9, mean_episode_reward:-30.470272064208984, mean_queue:15.699999809265137
intersection:10, mean_episode_reward:-25.264434814453125, mean_queue:14.222222328186035
intersection:11, mean_episode_reward:-17.888744354248047, mean_queue:12.647222518920898
intersection:12, mean_episode_reward:-6.907444477081299, mean_queue:5.297222137451172
intersection:13, mean_episode_reward:-22.534730911254883, mean_queue:33.00833511352539
intersection:14, mean_episode_reward:-31.75777816772461, mean_queue:15.399999618530273
intersection:15, mean_episode_reward:-13.155614852905273, mean_queue:37.57777786254883
intersection:16, mean_episode_reward:-7.546229362487793, mean_queue:8.197221755981445
intersection:17, mean_episode_reward:-4.847222805023193, mean_queue:5.8027777671813965
intersection:18, mean_episode_reward:-10.204758644104004, mean_queue:17.26388931274414
intersection:19, mean_episode_reward:-7.172500133514404, mean_queue:8.36111068725586
intersection:20, mean_episode_reward:-3.3400003910064697, mean_queue:5.513888835906982
intersection:21, mean_episode_reward:-0.3645370602607727, mean_queue:2.2833333015441895
intersection:22, mean_episode_reward:-4.433856010437012, mean_queue:7.205555438995361
intersection:23, mean_episode_reward:-9.574725151062012, mean_queue:10.316666603088379
intersection:24, mean_episode_reward:0.0, mean_queue:2.558333396911621
intersection:25, mean_episode_reward:-8.011248588562012, mean_queue:13.094444274902344
intersection:26, mean_episode_reward:-13.734814643859863, mean_queue:5.5527777671813965
intersection:27, mean_episode_reward:-5.26438045501709, mean_queue:6.911110877990723
intersection:28, mean_episode_reward:-20.73583221435547, mean_queue:12.561111450195312
intersection:29, mean_episode_reward:-43.02925109863281, mean_queue:31.580554962158203
intersection:30, mean_episode_reward:-3.4986941814422607, mean_queue:4.616666793823242
intersection:31, mean_episode_reward:-2.665555715560913, mean_queue:2.855555534362793
intersection:32, mean_episode_reward:-1.6952217817306519, mean_queue:2.825000047683716
intersection:33, mean_episode_reward:-19.114444732666016, mean_queue:45.34722137451172
intersection:34, mean_episode_reward:-2.9883615970611572, mean_queue:6.472222328186035
intersection:35, mean_episode_reward:-0.08055555820465088, mean_queue:0.13611111044883728
intersection:36, mean_episode_reward:-8.083664894104004, mean_queue:5.527777671813965
intersection:37, mean_episode_reward:0.0, mean_queue:15.975000381469727
intersection:38, mean_episode_reward:-4.483147621154785, mean_queue:5.10277795791626
intersection:39, mean_episode_reward:-6.9339680671691895, mean_queue:18.497222900390625
intersection:40, mean_episode_reward:-3.5796639919281006, mean_queue:3.8027777671813965
intersection:41, mean_episode_reward:-6.414078712463379, mean_queue:7.7833333015441895
intersection:42, mean_episode_reward:-3.943748950958252, mean_queue:1.9472222328186035
intersection:43, mean_episode_reward:-9.227279663085938, mean_queue:21.22222137451172
intersection:44, mean_episode_reward:-6.689029216766357, mean_queue:20.191667556762695
intersection:45, mean_episode_reward:0.0, mean_queue:40.405555725097656
intersection:46, mean_episode_reward:-7.343055725097656, mean_queue:5.488888740539551
intersection:47, mean_episode_reward:-11.084551811218262, mean_queue:10.505555152893066
intersection:48, mean_episode_reward:-1.067062497138977, mean_queue:3.9083333015441895
intersection:49, mean_episode_reward:-2.823887586593628, mean_queue:2.9111111164093018
intersection:50, mean_episode_reward:-5.9572224617004395, mean_queue:7.541666507720947
intersection:51, mean_episode_reward:-4.02222204208374, mean_queue:3.0361111164093018
intersection:52, mean_episode_reward:-1.2180556058883667, mean_queue:0.21666666865348816
intersection:53, mean_episode_reward:-2.448003053665161, mean_queue:1.2000000476837158
intersection:54, mean_episode_reward:-16.733888626098633, mean_queue:6.81944465637207
intersection:55, mean_episode_reward:-37.77458190917969, mean_queue:22.875
intersection:56, mean_episode_reward:0.0, mean_queue:3.0055556297302246
intersection:57, mean_episode_reward:-5.082638740539551, mean_queue:8.48611068725586
intersection:58, mean_episode_reward:-47.53887939453125, mean_queue:23.31944465637207
step:3600/3600, q_loss:55.97984313964844, rewards:-453.3529079861111, queue:8.896186440677965, delay:0.1698676445165372, throughput:5369
episode:1/10, real avg travel time:479.1056062581486
intersection:0, mean_episode_reward:-1.200000524520874, mean_queue:0.5277777910232544
intersection:1, mean_episode_reward:-3.5527777671813965, mean_queue:3.3611111640930176
intersection:2, mean_episode_reward:-45.781185150146484, mean_queue:57.23055648803711
intersection:3, mean_episode_reward:-5.391458511352539, mean_queue:3.444444417953491
intersection:4, mean_episode_reward:0.0, mean_queue:0.3472222089767456
intersection:5, mean_episode_reward:-2.474644899368286, mean_queue:1.3583333492279053
intersection:6, mean_episode_reward:-9.00278091430664, mean_queue:11.291666984558105
intersection:7, mean_episode_reward:-4.241250038146973, mean_queue:6.4666666984558105
intersection:8, mean_episode_reward:-1.8551849126815796, mean_queue:3.5805554389953613
intersection:9, mean_episode_reward:-44.01805114746094, mean_queue:22.52777862548828
intersection:10, mean_episode_reward:-37.96857833862305, mean_queue:21.69444465637207
intersection:11, mean_episode_reward:-13.30666732788086, mean_queue:8.783333778381348
intersection:12, mean_episode_reward:-1.862109899520874, mean_queue:0.625
intersection:13, mean_episode_reward:-23.245996475219727, mean_queue:33.58333206176758
intersection:14, mean_episode_reward:-32.046112060546875, mean_queue:15.536110877990723
intersection:15, mean_episode_reward:-4.99082612991333, mean_queue:15.308333396911621
intersection:16, mean_episode_reward:-5.397775650024414, mean_queue:5.516666889190674
intersection:17, mean_episode_reward:-4.281113624572754, mean_queue:4.94444465637207
intersection:18, mean_episode_reward:-8.41246509552002, mean_queue:15.858333587646484
intersection:19, mean_episode_reward:-7.845832824707031, mean_queue:9.230555534362793
intersection:20, mean_episode_reward:-5.153750419616699, mean_queue:7.888888835906982
intersection:21, mean_episode_reward:-0.00032407406251877546, mean_queue:0.7250000238418579
intersection:22, mean_episode_reward:-3.1732990741729736, mean_queue:4.972222328186035
intersection:23, mean_episode_reward:-2.9465277194976807, mean_queue:2.174999952316284
intersection:24, mean_episode_reward:0.0, mean_queue:0.9166666865348816
intersection:25, mean_episode_reward:-0.38490748405456543, mean_queue:1.0472222566604614
intersection:26, mean_episode_reward:-8.598518371582031, mean_queue:3.241666555404663
intersection:27, mean_episode_reward:-5.023703575134277, mean_queue:8.01388931274414
