step:3600/3600, q_loss:0, rewards:-602.9088541666666, queue:11.227824858757062, delay:0.21122056059469163, throughput:7417
episode:0/100, real avg travel time:660.3382769313739
intersection:0, mean_episode_reward:-2.2421865463256836, mean_queue:5.661110877990723
intersection:1, mean_episode_reward:-7.922445297241211, mean_queue:8.427778244018555
intersection:2, mean_episode_reward:-30.3800106048584, mean_queue:36.36666488647461
intersection:3, mean_episode_reward:-1.2668755054473877, mean_queue:1.019444465637207
intersection:4, mean_episode_reward:-1.5980947017669678, mean_queue:1.5916666984558105
intersection:5, mean_episode_reward:-1.9629758596420288, mean_queue:3.8777778148651123
intersection:6, mean_episode_reward:-5.161105632781982, mean_queue:7.388888835906982
intersection:7, mean_episode_reward:-7.592222690582275, mean_queue:15.227777481079102
intersection:8, mean_episode_reward:-3.315927028656006, mean_queue:5.722222328186035
intersection:9, mean_episode_reward:-37.71297073364258, mean_queue:19.563888549804688
intersection:10, mean_episode_reward:-31.64634132385254, mean_queue:20.655555725097656
intersection:11, mean_episode_reward:-2.3712503910064697, mean_queue:1.850000023841858
intersection:12, mean_episode_reward:-5.364890098571777, mean_queue:4.394444465637207
intersection:13, mean_episode_reward:-36.24184036254883, mean_queue:51.06111145019531
intersection:14, mean_episode_reward:-20.052778244018555, mean_queue:10.074999809265137
intersection:15, mean_episode_reward:-14.877165794372559, mean_queue:39.47222137451172
intersection:16, mean_episode_reward:-7.111110210418701, mean_queue:8.783333778381348
intersection:17, mean_episode_reward:-0.7992595434188843, mean_queue:1.2277777194976807
intersection:18, mean_episode_reward:-5.412917613983154, mean_queue:8.661110877990723
intersection:19, mean_episode_reward:-6.5646538734436035, mean_queue:8.86388874053955
intersection:20, mean_episode_reward:-7.951319217681885, mean_queue:11.519444465637207
intersection:21, mean_episode_reward:-1.5477315187454224, mean_queue:3.269444465637207
intersection:22, mean_episode_reward:-7.316318035125732, mean_queue:14.927778244018555
intersection:23, mean_episode_reward:-11.89069652557373, mean_queue:15.899999618530273
intersection:24, mean_episode_reward:-2.2649993896484375, mean_queue:4.2833333015441895
intersection:25, mean_episode_reward:-5.092638969421387, mean_queue:7.05555534362793
intersection:26, mean_episode_reward:-11.967034339904785, mean_queue:6.083333492279053
intersection:27, mean_episode_reward:-3.430061101913452, mean_queue:6.236111164093018
intersection:28, mean_episode_reward:-28.38381004333496, mean_queue:23.79166603088379
intersection:29, mean_episode_reward:-41.975555419921875, mean_queue:31.475000381469727
intersection:30, mean_episode_reward:-7.894524574279785, mean_queue:9.911110877990723
intersection:31, mean_episode_reward:-11.904763221740723, mean_queue:20.31944465637207
intersection:32, mean_episode_reward:-3.401556968688965, mean_queue:2.8722221851348877
intersection:33, mean_episode_reward:-8.55744457244873, mean_queue:21.258333206176758
intersection:34, mean_episode_reward:-3.8804192543029785, mean_queue:11.491666793823242
