step:3600/3600, q_loss:58.58683776855469, rewards:-444.0310329861111, queue:7.54063088512241, delay:0.16536956039974693, throughput:6780
episode:0/10, real avg travel time:478.9088495575221
intersection:0, mean_episode_reward:-1.2144792079925537, mean_queue:3.0916666984558105
intersection:1, mean_episode_reward:-1.8041107654571533, mean_queue:2.055555582046509
intersection:2, mean_episode_reward:-22.568675994873047, mean_queue:20.46388816833496
intersection:3, mean_episode_reward:-7.832499027252197, mean_queue:5.77222204208374
intersection:4, mean_episode_reward:-17.64120101928711, mean_queue:20.436111450195312
intersection:5, mean_episode_reward:-1.0407136678695679, mean_queue:1.836111068725586
intersection:6, mean_episode_reward:-4.186851501464844, mean_queue:5.286110877990723
intersection:7, mean_episode_reward:-3.368889093399048, mean_queue:6.752777576446533
intersection:8, mean_episode_reward:-2.4585163593292236, mean_queue:4.536110877990723
intersection:9, mean_episode_reward:-28.024993896484375, mean_queue:15.891666412353516
intersection:10, mean_episode_reward:-18.80809783935547, mean_queue:12.447221755981445
intersection:11, mean_episode_reward:-11.908055305480957, mean_queue:8.41944408416748
intersection:12, mean_episode_reward:-1.3723324537277222, mean_queue:1.1805555820465088
intersection:13, mean_episode_reward:-19.40144157409668, mean_queue:27.608333587646484
intersection:14, mean_episode_reward:-20.732221603393555, mean_queue:10.377778053283691
intersection:15, mean_episode_reward:-17.350330352783203, mean_queue:45.45833206176758
intersection:16, mean_episode_reward:-11.629551887512207, mean_queue:14.516666412353516
intersection:17, mean_episode_reward:-2.293149709701538, mean_queue:3.4583332538604736
intersection:18, mean_episode_reward:-5.742534637451172, mean_queue:9.427778244018555
intersection:19, mean_episode_reward:-1.9134018421173096, mean_queue:2.7638888359069824
intersection:20, mean_episode_reward:-2.8137497901916504, mean_queue:4.247222423553467
intersection:21, mean_episode_reward:-0.4452778995037079, mean_queue:1.1472222805023193
intersection:22, mean_episode_reward:-2.8069093227386475, mean_queue:5.800000190734863
intersection:23, mean_episode_reward:-1.819583773612976, mean_queue:2.8972222805023193
intersection:24, mean_episode_reward:-0.3594444692134857, mean_queue:0.6666666865348816
intersection:25, mean_episode_reward:-0.3476851284503937, mean_queue:0.625
intersection:26, mean_episode_reward:-11.33148193359375, mean_queue:5.877777576446533
intersection:27, mean_episode_reward:-3.2628369331359863, mean_queue:5.644444465637207
intersection:28, mean_episode_reward:-21.966108322143555, mean_queue:14.68055534362793
intersection:29, mean_episode_reward:-26.07297706604004, mean_queue:19.547222137451172
intersection:30, mean_episode_reward:-7.169641017913818, mean_queue:10.649999618530273
intersection:31, mean_episode_reward:-2.1761906147003174, mean_queue:3.722222328186035
intersection:32, mean_episode_reward:-0.6163333654403687, mean_queue:0.5055555701255798
intersection:33, mean_episode_reward:-6.215998649597168, mean_queue:15.433333396911621
intersection:34, mean_episode_reward:-1.2924995422363281, mean_queue:4.041666507720947
intersection:35, mean_episode_reward:-0.2140740007162094, mean_queue:0.3888888955116272
intersection:36, mean_episode_reward:-0.033666662871837616, mean_queue:0.03055555559694767
intersection:37, mean_episode_reward:-5.485831260681152, mean_queue:7.252777576446533
intersection:38, mean_episode_reward:-0.9837035536766052, mean_queue:1.5777777433395386
intersection:39, mean_episode_reward:-4.917025566101074, mean_queue:11.338889122009277
intersection:40, mean_episode_reward:-2.446221351623535, mean_queue:1.7999999523162842
intersection:41, mean_episode_reward:-3.2173140048980713, mean_queue:4.580555438995361
intersection:42, mean_episode_reward:-1.0168050527572632, mean_queue:0.6166666746139526
intersection:43, mean_episode_reward:-2.8140554428100586, mean_queue:5.650000095367432
intersection:44, mean_episode_reward:-2.299374580383301, mean_queue:5.844444274902344
intersection:45, mean_episode_reward:-7.312421798706055, mean_queue:6.525000095367432
intersection:46, mean_episode_reward:-10.186666488647461, mean_queue:5.983333110809326
intersection:47, mean_episode_reward:-10.651459693908691, mean_queue:10.219444274902344
intersection:48, mean_episode_reward:-1.199920892715454, mean_queue:2.6194443702697754
intersection:49, mean_episode_reward:-0.44166693091392517, mean_queue:0.4611110985279083
intersection:50, mean_episode_reward:-0.10537037253379822, mean_queue:0.18611110746860504
intersection:51, mean_episode_reward:-0.5600000023841858, mean_queue:0.5694444179534912
intersection:52, mean_episode_reward:-0.008611111901700497, mean_queue:0.008333333767950535
intersection:53, mean_episode_reward:-0.18366669118404388, mean_queue:0.1527777761220932
intersection:54, mean_episode_reward:-11.24222183227539, mean_queue:4.81944465637207
intersection:55, mean_episode_reward:-26.28291893005371, mean_queue:17.59722137451172
intersection:56, mean_episode_reward:-1.0453964471817017, mean_queue:2.2055554389953613
intersection:57, mean_episode_reward:-4.082777500152588, mean_queue:8.466666221618652
intersection:58, mean_episode_reward:-57.31111145019531, mean_queue:28.73611068725586
step:3600/3600, q_loss:58.692359924316406, rewards:-263.55412326388887, queue:4.46195856873823, delay:0.11805270494938795, throughput:7599
episode:1/10, real avg travel time:372.11527832609556
intersection:0, mean_episode_reward:-2.32364559173584, mean_queue:6.077777862548828
intersection:1, mean_episode_reward:-0.47877782583236694, mean_queue:0.4138889014720917
intersection:2, mean_episode_reward:-27.872282028198242, mean_queue:25.20833396911621
