step:3600/3600, q_loss:1.1108996868133545, rewards:-796.7923611111111, queue:16.891290018832393, delay:0.2565534746130532, throughput:2825
episode:0/10, real avg travel time:667.455575221239
intersection:0, mean_episode_reward:-8.942917823791504, mean_queue:16.399999618530273
intersection:1, mean_episode_reward:-11.666558265686035, mean_queue:11.033333778381348
intersection:2, mean_episode_reward:-26.513336181640625, mean_queue:28.6472225189209
intersection:3, mean_episode_reward:-11.121875762939453, mean_queue:8.347222328186035
intersection:4, mean_episode_reward:-7.82000732421875, mean_queue:8.697221755981445
intersection:5, mean_episode_reward:-4.75892972946167, mean_queue:9.561111450195312
intersection:6, mean_episode_reward:-5.019993782043457, mean_queue:6.574999809265137
intersection:7, mean_episode_reward:-5.936249256134033, mean_queue:11.913888931274414
intersection:8, mean_episode_reward:-8.715923309326172, mean_queue:14.747221946716309
intersection:9, mean_episode_reward:-8.449075698852539, mean_queue:4.27222204208374
intersection:10, mean_episode_reward:-6.683967590332031, mean_queue:4.708333492279053
intersection:11, mean_episode_reward:-8.317639350891113, mean_queue:5.733333110809326
intersection:12, mean_episode_reward:-7.206552505493164, mean_queue:5.641666889190674
intersection:13, mean_episode_reward:-21.72028160095215, mean_queue:31.575000762939453
intersection:14, mean_episode_reward:-19.01944351196289, mean_queue:9.541666984558105
intersection:15, mean_episode_reward:-18.57393455505371, mean_queue:49.602779388427734
intersection:16, mean_episode_reward:-6.662663459777832, mean_queue:8.297222137451172
intersection:17, mean_episode_reward:-8.318886756896973, mean_queue:12.313888549804688
intersection:18, mean_episode_reward:-10.03499984741211, mean_queue:12.019444465637207
intersection:19, mean_episode_reward:-8.431390762329102, mean_queue:10.963889122009277
intersection:20, mean_episode_reward:-16.69965362548828, mean_queue:24.447221755981445
intersection:21, mean_episode_reward:-4.430140018463135, mean_queue:9.063888549804688
intersection:22, mean_episode_reward:-7.953923225402832, mean_queue:15.966666221618652
intersection:23, mean_episode_reward:-32.33687210083008, mean_queue:33.53888702392578
intersection:24, mean_episode_reward:-3.862361431121826, mean_queue:7.594444274902344
intersection:25, mean_episode_reward:-18.980167388916016, mean_queue:28.2277774810791
intersection:26, mean_episode_reward:-13.803149223327637, mean_queue:7.06944465637207
intersection:27, mean_episode_reward:-5.405616760253906, mean_queue:9.161110877990723
intersection:28, mean_episode_reward:-60.35826110839844, mean_queue:57.483333587646484
intersection:29, mean_episode_reward:-27.17073631286621, mean_queue:20.450000762939453
intersection:30, mean_episode_reward:-31.677501678466797, mean_queue:37.02777862548828
intersection:31, mean_episode_reward:-12.90174388885498, mean_queue:22.33888816833496
intersection:32, mean_episode_reward:-16.585649490356445, mean_queue:13.702777862548828
intersection:33, mean_episode_reward:-22.38033103942871, mean_queue:56.00555419921875
intersection:34, mean_episode_reward:-7.867974281311035, mean_queue:22.058332443237305
intersection:35, mean_episode_reward:-10.070551872253418, mean_queue:15.133333206176758
intersection:36, mean_episode_reward:-3.881333351135254, mean_queue:3.2333333492279053
intersection:37, mean_episode_reward:-11.603839874267578, mean_queue:14.508333206176758
intersection:38, mean_episode_reward:-9.30258560180664, mean_queue:12.997221946716309
intersection:39, mean_episode_reward:-8.671438217163086, mean_queue:20.2722225189209
intersection:40, mean_episode_reward:-3.181774854660034, mean_queue:3.2722222805023193
intersection:41, mean_episode_reward:-12.319907188415527, mean_queue:19.991666793823242
intersection:42, mean_episode_reward:-6.368332386016846, mean_queue:4.711111068725586
intersection:43, mean_episode_reward:-12.3267240524292, mean_queue:28.78611183166504
intersection:44, mean_episode_reward:-6.504929542541504, mean_queue:22.18055534362793
intersection:45, mean_episode_reward:-19.412822723388672, mean_queue:39.06944274902344
intersection:46, mean_episode_reward:-8.63277816772461, mean_queue:7.983333110809326
intersection:47, mean_episode_reward:-19.76344871520996, mean_queue:20.700000762939453
intersection:48, mean_episode_reward:-7.49980354309082, mean_queue:16.969444274902344
intersection:49, mean_episode_reward:-10.68639087677002, mean_queue:10.73611068725586
intersection:50, mean_episode_reward:-14.211478233337402, mean_queue:21.336111068725586
intersection:51, mean_episode_reward:-1.815000057220459, mean_queue:1.8222222328186035
intersection:52, mean_episode_reward:-0.6016666293144226, mean_queue:0.5972222089767456
intersection:53, mean_episode_reward:-3.2679989337921143, mean_queue:2.683333396911621
intersection:54, mean_episode_reward:-6.977222442626953, mean_queue:2.9194445610046387
intersection:55, mean_episode_reward:-34.62125015258789, mean_queue:24.141666412353516
intersection:56, mean_episode_reward:-8.597099304199219, mean_queue:14.163888931274414
intersection:57, mean_episode_reward:-7.617394924163818, mean_queue:17.330554962158203
intersection:58, mean_episode_reward:-72.52778625488281, mean_queue:36.31944274902344
step:3600/3600, q_loss:0.6741897463798523, rewards:-797.8485243055555, queue:15.888512241054613, delay:0.24689877037723634, throughput:3354
episode:1/10, real avg travel time:693.5333929636255
intersection:0, mean_episode_reward:-9.666147232055664, mean_queue:25.552778244018555
intersection:1, mean_episode_reward:-7.414561748504639, mean_queue:6.980555534362793
intersection:2, mean_episode_reward:-25.811363220214844, mean_queue:27.77777862548828
intersection:3, mean_episode_reward:-15.416460037231445, mean_queue:11.33055591583252
intersection:4, mean_episode_reward:-0.2978571057319641, mean_queue:0.3166666626930237
intersection:5, mean_episode_reward:-4.527857780456543, mean_queue:8.280555725097656
intersection:6, mean_episode_reward:-5.138521194458008, mean_queue:6.936110973358154
intersection:7, mean_episode_reward:-4.866389274597168, mean_queue:9.769444465637207
intersection:8, mean_episode_reward:-7.049132823944092, mean_queue:11.63611125946045
intersection:9, mean_episode_reward:-49.5551872253418, mean_queue:24.811111450195312
intersection:10, mean_episode_reward:-45.35361862182617, mean_queue:29.197221755981445
intersection:11, mean_episode_reward:-4.732916831970215, mean_queue:3.469444513320923
intersection:12, mean_episode_reward:-5.450112342834473, mean_queue:4.400000095367432
intersection:13, mean_episode_reward:-33.657779693603516, mean_queue:52.29166793823242
intersection:14, mean_episode_reward:-28.94110870361328, mean_queue:14.452777862548828
intersection:15, mean_episode_reward:-17.842708587646484, mean_queue:47.20000076293945
intersection:16, mean_episode_reward:-7.5400071144104, mean_queue:9.411110877990723
intersection:17, mean_episode_reward:-7.09648323059082, mean_queue:10.644444465637207
intersection:18, mean_episode_reward:-3.730451822280884, mean_queue:7.505555629730225
intersection:19, mean_episode_reward:-8.639721870422363, mean_queue:10.45555591583252
intersection:20, mean_episode_reward:-8.420624732971191, mean_queue:11.747221946716309
intersection:21, mean_episode_reward:-2.2876853942871094, mean_queue:4.883333206176758
intersection:22, mean_episode_reward:-6.437016010284424, mean_queue:13.147222518920898
intersection:23, mean_episode_reward:-40.49833297729492, mean_queue:40.07500076293945
intersection:24, mean_episode_reward:-3.3729169368743896, mean_queue:6.497222423553467
intersection:25, mean_episode_reward:-17.858741760253906, mean_queue:27.424999237060547
intersection:26, mean_episode_reward:-18.919279098510742, mean_queue:8.88888931274414
intersection:27, mean_episode_reward:-8.867340087890625, mean_queue:16.172222137451172
intersection:28, mean_episode_reward:-40.87396240234375, mean_queue:35.358333587646484
intersection:29, mean_episode_reward:-48.38444519042969, mean_queue:36.375
intersection:30, mean_episode_reward:-11.100475311279297, mean_queue:13.933333396911621
intersection:31, mean_episode_reward:-13.003809928894043, mean_queue:22.26944351196289
intersection:32, mean_episode_reward:-11.713555335998535, mean_queue:7.866666793823242
intersection:33, mean_episode_reward:-15.439688682556152, mean_queue:38.67499923706055
intersection:34, mean_episode_reward:-11.988333702087402, mean_queue:33.474998474121094
intersection:35, mean_episode_reward:-3.1996285915374756, mean_queue:4.8222222328186035
intersection:36, mean_episode_reward:-0.5853334069252014, mean_queue:0.36666667461395264
intersection:37, mean_episode_reward:-10.886841773986816, mean_queue:10.297222137451172
intersection:38, mean_episode_reward:-7.128520965576172, mean_queue:9.883333206176758
intersection:39, mean_episode_reward:-8.063568115234375, mean_queue:18.827777862548828
intersection:40, mean_episode_reward:-1.717334270477295, mean_queue:1.8138889074325562
intersection:41, mean_episode_reward:-12.714432716369629, mean_queue:21.28333282470703
intersection:42, mean_episode_reward:-4.469166278839111, mean_queue:3.2527778148651123
intersection:43, mean_episode_reward:-13.171953201293945, mean_queue:35.69722366333008
intersection:44, mean_episode_reward:-6.449304103851318, mean_queue:19.186111450195312
intersection:45, mean_episode_reward:-20.34665870666504, mean_queue:41.8305549621582
intersection:46, mean_episode_reward:-8.852222442626953, mean_queue:8.322221755981445
intersection:47, mean_episode_reward:-15.39765739440918, mean_queue:16.438888549804688
intersection:48, mean_episode_reward:-6.106745719909668, mean_queue:13.405555725097656
intersection:49, mean_episode_reward:-0.411389023065567, mean_queue:0.4555555582046509
intersection:50, mean_episode_reward:-0.15259261429309845, mean_queue:0.28611111640930176
intersection:51, mean_episode_reward:-1.4288889169692993, mean_queue:1.4416667222976685
intersection:52, mean_episode_reward:-0.3291666805744171, mean_queue:0.32777777314186096
intersection:53, mean_episode_reward:-3.9039974212646484, mean_queue:3.2361111640930176
intersection:54, mean_episode_reward:-3.797222137451172, mean_queue:1.2638888359069824
intersection:55, mean_episode_reward:-3.8088884353637695, mean_queue:2.6972222328186035
intersection:56, mean_episode_reward:-4.841424942016602, mean_queue:8.527777671813965
intersection:57, mean_episode_reward:-13.8465576171875, mean_queue:27.302778244018555
intersection:58, mean_episode_reward:-94.34444427490234, mean_queue:47.247222900390625
step:3600/3600, q_loss:0.6665793657302856, rewards:-691.4224392361111, queue:14.142843691148776, delay:0.2294603940457274, throughput:3720
episode:2/10, real avg travel time:668.0610215053763
intersection:0, mean_episode_reward:-13.306875228881836, mean_queue:35.511112213134766
intersection:1, mean_episode_reward:-9.15966510772705, mean_queue:6.044444561004639
intersection:2, mean_episode_reward:-43.09330368041992, mean_queue:47.3305549621582
intersection:3, mean_episode_reward:-12.672500610351562, mean_queue:9.594444274902344
intersection:4, mean_episode_reward:-1.7566661834716797, mean_queue:2.0361111164093018
intersection:5, mean_episode_reward:-7.553215980529785, mean_queue:14.813888549804688
intersection:6, mean_episode_reward:-12.017035484313965, mean_queue:17.988889694213867
intersection:7, mean_episode_reward:-3.638889789581299, mean_queue:7.261111259460449
intersection:8, mean_episode_reward:-8.050372123718262, mean_queue:13.333333015441895
intersection:9, mean_episode_reward:-54.41685485839844, mean_queue:28.061111450195312
intersection:10, mean_episode_reward:-60.615089416503906, mean_queue:39.20833206176758
intersection:11, mean_episode_reward:-11.142638206481934, mean_queue:7.963889122009277
intersection:12, mean_episode_reward:-3.0275559425354004, mean_queue:2.4638888835906982
intersection:13, mean_episode_reward:-20.733224868774414, mean_queue:27.78333282470703
intersection:14, mean_episode_reward:-27.135560989379883, mean_queue:13.572221755981445
intersection:15, mean_episode_reward:-7.791120529174805, mean_queue:19.53611183166504
intersection:16, mean_episode_reward:-8.31999397277832, mean_queue:10.405555725097656
intersection:17, mean_episode_reward:-8.44259262084961, mean_queue:12.586111068725586
intersection:18, mean_episode_reward:-7.778507709503174, mean_queue:15.56944465637207
intersection:19, mean_episode_reward:-8.280488967895508, mean_queue:10.822221755981445
intersection:20, mean_episode_reward:-6.77166748046875, mean_queue:9.688888549804688
intersection:21, mean_episode_reward:-2.435229778289795, mean_queue:5.400000095367432
intersection:22, mean_episode_reward:-7.591006278991699, mean_queue:15.783333778381348
intersection:23, mean_episode_reward:-25.386667251586914, mean_queue:25.452777862548828
