step:3600/3600, q_loss:0.41745394468307495, rewards:-611.0557291666667, queue:15.028719397363465, delay:0.25076157162193974, throughput:2190
episode:0/10, real avg travel time:843.5607305936073
intersection:0, mean_episode_reward:-9.165730476379395, mean_queue:19.455554962158203
intersection:1, mean_episode_reward:-14.12899398803711, mean_queue:11.125
intersection:2, mean_episode_reward:-48.943450927734375, mean_queue:52.7055549621582
intersection:3, mean_episode_reward:-10.090832710266113, mean_queue:7.455555438995361
intersection:4, mean_episode_reward:-1.5909548997879028, mean_queue:1.5444444417953491
intersection:5, mean_episode_reward:-9.033454895019531, mean_queue:13.311111450195312
intersection:6, mean_episode_reward:-7.623707294464111, mean_queue:8.461111068725586
intersection:7, mean_episode_reward:-11.47610855102539, mean_queue:23.002777099609375
intersection:8, mean_episode_reward:0.0, mean_queue:10.625
intersection:9, mean_episode_reward:-5.441296100616455, mean_queue:2.319444417953491
intersection:10, mean_episode_reward:-13.455245018005371, mean_queue:7.866666793823242
intersection:11, mean_episode_reward:-13.254863739013672, mean_queue:8.230555534362793
intersection:12, mean_episode_reward:-5.123445510864258, mean_queue:3.566666603088379
intersection:13, mean_episode_reward:0.0, mean_queue:66.8499984741211
intersection:14, mean_episode_reward:-32.31999969482422, mean_queue:16.202777862548828
intersection:15, mean_episode_reward:-16.306293487548828, mean_queue:41.377777099609375
intersection:16, mean_episode_reward:-9.660428047180176, mean_queue:10.833333015441895
intersection:17, mean_episode_reward:-1.615185260772705, mean_queue:4.941666603088379
intersection:18, mean_episode_reward:-5.876943588256836, mean_queue:10.922222137451172
intersection:19, mean_episode_reward:-8.367432594299316, mean_queue:10.188888549804688
intersection:20, mean_episode_reward:0.0, mean_queue:11.66944408416748
intersection:21, mean_episode_reward:-12.45573902130127, mean_queue:25.924999237060547
intersection:22, mean_episode_reward:-6.765312194824219, mean_queue:11.81944465637207
intersection:23, mean_episode_reward:-9.192012786865234, mean_queue:11.516666412353516
intersection:24, mean_episode_reward:-4.924306392669678, mean_queue:9.033333778381348
intersection:25, mean_episode_reward:-15.109210968017578, mean_queue:17.88888931274414
intersection:26, mean_episode_reward:-10.799997329711914, mean_queue:5.627777576446533
intersection:27, mean_episode_reward:0.0, mean_queue:10.655555725097656
intersection:28, mean_episode_reward:-19.415491104125977, mean_queue:9.13888931274414
intersection:29, mean_episode_reward:-56.82776641845703, mean_queue:42.71111297607422
intersection:30, mean_episode_reward:-9.65095043182373, mean_queue:13.408333778381348
intersection:31, mean_episode_reward:-6.480003356933594, mean_queue:9.441666603088379
intersection:32, mean_episode_reward:-9.335558891296387, mean_queue:6.491666793823242
intersection:33, mean_episode_reward:-37.42209243774414, mean_queue:91.20833587646484
intersection:34, mean_episode_reward:-4.0658040046691895, mean_queue:16.030555725097656
intersection:35, mean_episode_reward:-1.3027769327163696, mean_queue:0.4555555582046509
intersection:36, mean_episode_reward:-4.001666069030762, mean_queue:3.3416666984558105
intersection:37, mean_episode_reward:-15.60400104522705, mean_queue:16.802778244018555
intersection:38, mean_episode_reward:0.0, mean_queue:13.247221946716309
intersection:39, mean_episode_reward:-7.273334503173828, mean_queue:16.988889694213867
intersection:40, mean_episode_reward:-6.106656074523926, mean_queue:4.786110877990723
intersection:41, mean_episode_reward:-7.490923881530762, mean_queue:10.255555152893066
intersection:42, mean_episode_reward:-4.801527976989746, mean_queue:3.23888897895813
intersection:43, mean_episode_reward:-13.522896766662598, mean_queue:30.3527774810791
intersection:44, mean_episode_reward:-6.198751449584961, mean_queue:20.55555534362793
intersection:45, mean_episode_reward:-15.167688369750977, mean_queue:19.8972225189209
intersection:46, mean_episode_reward:-9.07166862487793, mean_queue:5.988888740539551
intersection:47, mean_episode_reward:-13.629329681396484, mean_queue:12.297222137451172
intersection:48, mean_episode_reward:-4.340319633483887, mean_queue:8.155555725097656
intersection:49, mean_episode_reward:-4.826944828033447, mean_queue:7.252777576446533
intersection:50, mean_episode_reward:-31.706453323364258, mean_queue:46.141666412353516
intersection:51, mean_episode_reward:-5.223888397216797, mean_queue:4.230555534362793
intersection:52, mean_episode_reward:0.0, mean_queue:0.8638888597488403
intersection:53, mean_episode_reward:-2.8935556411743164, mean_queue:4.041666507720947
intersection:54, mean_episode_reward:-7.12000036239624, mean_queue:1.8583333492279053
intersection:55, mean_episode_reward:-3.1394436359405518, mean_queue:1.8222222328186035
intersection:56, mean_episode_reward:-6.523889064788818, mean_queue:9.255555152893066
intersection:57, mean_episode_reward:-7.3408331871032715, mean_queue:17.36111068725586
intersection:58, mean_episode_reward:-7.850555419921875, mean_queue:3.950000047683716
step:3600/3600, q_loss:0.23238970339298248, rewards:-543.7236545138888, queue:13.869679849340866, delay:0.22674868596251177, throughput:2568
episode:1/10, real avg travel time:739.4135514018692
intersection:0, mean_episode_reward:-7.398123741149902, mean_queue:15.266666412353516
intersection:1, mean_episode_reward:-14.028223991394043, mean_queue:11.18055534362793
intersection:2, mean_episode_reward:-46.83642578125, mean_queue:51.38055419921875
intersection:3, mean_episode_reward:-8.05354118347168, mean_queue:5.886111259460449
intersection:4, mean_episode_reward:-0.6930941343307495, mean_queue:0.41111111640930176
intersection:5, mean_episode_reward:-6.685713768005371, mean_queue:12.441666603088379
intersection:6, mean_episode_reward:-8.439064979553223, mean_queue:11.008333206176758
intersection:7, mean_episode_reward:-7.649860382080078, mean_queue:15.311111450195312
intersection:8, mean_episode_reward:0.0, mean_queue:12.008333206176758
intersection:9, mean_episode_reward:-6.167591571807861, mean_queue:2.663888931274414
intersection:10, mean_episode_reward:-7.383652687072754, mean_queue:4.705555438995361
intersection:11, mean_episode_reward:-12.6980562210083, mean_queue:7.813889026641846
intersection:12, mean_episode_reward:-1.5365549325942993, mean_queue:0.5805555582046509
intersection:13, mean_episode_reward:0.0, mean_queue:71.81111145019531
intersection:14, mean_episode_reward:-24.13722801208496, mean_queue:12.097222328186035
intersection:15, mean_episode_reward:-15.494006156921387, mean_queue:37.85555648803711
intersection:16, mean_episode_reward:-9.191320419311523, mean_queue:10.23611068725586
intersection:17, mean_episode_reward:-1.2998156547546387, mean_queue:4.619444370269775
intersection:18, mean_episode_reward:-8.514724731445312, mean_queue:19.433332443237305
intersection:19, mean_episode_reward:-7.34076452255249, mean_queue:8.202777862548828
intersection:20, mean_episode_reward:0.0, mean_queue:13.602777481079102
intersection:21, mean_episode_reward:-8.526342391967773, mean_queue:17.169445037841797
intersection:22, mean_episode_reward:-9.235213279724121, mean_queue:12.20555591583252
intersection:23, mean_episode_reward:-11.339095115661621, mean_queue:13.66944408416748
intersection:24, mean_episode_reward:-3.208887815475464, mean_queue:5.058333396911621
intersection:25, mean_episode_reward:-7.599953651428223, mean_queue:7.127777576446533
intersection:26, mean_episode_reward:-4.160369873046875, mean_queue:1.6472222805023193
intersection:27, mean_episode_reward:0.0, mean_queue:10.897222518920898
intersection:28, mean_episode_reward:-18.24152374267578, mean_queue:7.705555438995361
intersection:29, mean_episode_reward:-48.73369598388672, mean_queue:36.63055419921875
intersection:30, mean_episode_reward:-5.820122718811035, mean_queue:7.650000095367432
intersection:31, mean_episode_reward:-7.202380180358887, mean_queue:10.644444465637207
intersection:32, mean_episode_reward:-9.730225563049316, mean_queue:7.1583333015441895
intersection:33, mean_episode_reward:-41.017005920410156, mean_queue:100.1500015258789
intersection:34, mean_episode_reward:-3.707693576812744, mean_queue:14.73888874053955
intersection:35, mean_episode_reward:-1.3437014818191528, mean_queue:0.5111111402511597
intersection:36, mean_episode_reward:-2.72566556930542, mean_queue:2.2750000953674316
intersection:37, mean_episode_reward:-18.57081413269043, mean_queue:17.797222137451172
intersection:38, mean_episode_reward:0.0, mean_queue:8.730555534362793
intersection:39, mean_episode_reward:-5.506196975708008, mean_queue:12.872221946716309
intersection:40, mean_episode_reward:-6.065540790557861, mean_queue:4.913888931274414
intersection:41, mean_episode_reward:-5.111068248748779, mean_queue:6.638888835906982
intersection:42, mean_episode_reward:-4.339860916137695, mean_queue:3.2277777194976807
intersection:43, mean_episode_reward:-12.327129364013672, mean_queue:27.25
intersection:44, mean_episode_reward:-7.671734809875488, mean_queue:22.238889694213867
intersection:45, mean_episode_reward:-18.45801544189453, mean_queue:20.455554962158203
intersection:46, mean_episode_reward:-9.171392440795898, mean_queue:5.375
intersection:47, mean_episode_reward:-14.093326568603516, mean_queue:12.747221946716309
intersection:48, mean_episode_reward:-4.272180080413818, mean_queue:8.23888874053955
intersection:49, mean_episode_reward:-5.104167461395264, mean_queue:7.711111068725586
intersection:50, mean_episode_reward:-30.193893432617188, mean_queue:43.84166717529297
intersection:51, mean_episode_reward:-5.251667022705078, mean_queue:4.258333206176758
intersection:52, mean_episode_reward:0.0, mean_queue:0.8527777791023254
intersection:53, mean_episode_reward:-1.3493320941925049, mean_queue:2.441666603088379
intersection:54, mean_episode_reward:-2.69777774810791, mean_queue:0.3055555522441864
intersection:55, mean_episode_reward:-1.5673614740371704, mean_queue:0.9027777910232544
intersection:56, mean_episode_reward:-3.631108522415161, mean_queue:5.4666666984558105
intersection:57, mean_episode_reward:-6.035380840301514, mean_queue:15.202777862548828
intersection:58, mean_episode_reward:-6.166111946105957, mean_queue:3.086111068725586
step:3600/3600, q_loss:0.2164074182510376, rewards:-578.8947916666667, queue:12.899058380414312, delay:0.22512025420050613, throughput:3032
episode:2/10, real avg travel time:664.2265831134565
intersection:0, mean_episode_reward:-5.981979846954346, mean_queue:11.519444465637207
intersection:1, mean_episode_reward:-13.975448608398438, mean_queue:10.5
intersection:2, mean_episode_reward:-46.89324188232422, mean_queue:50.63888931274414
intersection:3, mean_episode_reward:-8.335417747497559, mean_queue:6.230555534362793
intersection:4, mean_episode_reward:-0.5414280891418457, mean_queue:0.3166666626930237
intersection:5, mean_episode_reward:-6.973091125488281, mean_queue:12.69444465637207
intersection:6, mean_episode_reward:-7.839630126953125, mean_queue:9.961111068725586
intersection:7, mean_episode_reward:-6.805835723876953, mean_queue:13.630555152893066
intersection:8, mean_episode_reward:0.0, mean_queue:12.244444847106934
intersection:9, mean_episode_reward:-51.86203384399414, mean_queue:25.483333587646484
intersection:10, mean_episode_reward:-24.940332412719727, mean_queue:15.286110877990723
intersection:11, mean_episode_reward:-9.969446182250977, mean_queue:6.002777576446533
intersection:12, mean_episode_reward:-1.859443187713623, mean_queue:0.8111110925674438
intersection:13, mean_episode_reward:0.0, mean_queue:52.622222900390625
intersection:14, mean_episode_reward:-34.898887634277344, mean_queue:17.47222137451172
intersection:15, mean_episode_reward:-15.812692642211914, mean_queue:40.474998474121094
intersection:16, mean_episode_reward:-10.3477783203125, mean_queue:11.691666603088379
intersection:17, mean_episode_reward:-0.8794443011283875, mean_queue:3.9749999046325684
intersection:18, mean_episode_reward:-5.055972099304199, mean_queue:7.638888835906982
intersection:19, mean_episode_reward:-9.883820533752441, mean_queue:11.5
intersection:20, mean_episode_reward:0.0, mean_queue:10.083333015441895
intersection:21, mean_episode_reward:-7.656386852264404, mean_queue:15.505555152893066
intersection:22, mean_episode_reward:-1.9745491743087769, mean_queue:3.875
intersection:23, mean_episode_reward:-12.265555381774902, mean_queue:14.058333396911621
intersection:24, mean_episode_reward:-4.814167022705078, mean_queue:9.536110877990723
intersection:25, mean_episode_reward:-9.874629974365234, mean_queue:9.0
intersection:26, mean_episode_reward:-3.2848148345947266, mean_queue:1.4333332777023315
intersection:27, mean_episode_reward:0.0, mean_queue:11.48888874053955
intersection:28, mean_episode_reward:-16.944515228271484, mean_queue:5.538888931274414
intersection:29, mean_episode_reward:-57.87708282470703, mean_queue:43.53888702392578
intersection:30, mean_episode_reward:-11.639766693115234, mean_queue:15.449999809265137
intersection:31, mean_episode_reward:-7.957932472229004, mean_queue:12.102777481079102
intersection:32, mean_episode_reward:-9.079665184020996, mean_queue:6.794444561004639
intersection:33, mean_episode_reward:-25.656322479248047, mean_queue:61.713890075683594
intersection:34, mean_episode_reward:-5.125141620635986, mean_queue:18.20833396911621
intersection:35, mean_episode_reward:-1.316481351852417, mean_queue:0.4749999940395355
intersection:36, mean_episode_reward:-1.3010003566741943, mean_queue:1.0972222089767456
intersection:37, mean_episode_reward:-16.924333572387695, mean_queue:17.177778244018555
intersection:38, mean_episode_reward:0.0, mean_queue:15.105555534362793
intersection:39, mean_episode_reward:-5.987618446350098, mean_queue:14.005555152893066
intersection:40, mean_episode_reward:-5.773764610290527, mean_queue:4.6972222328186035
intersection:41, mean_episode_reward:-5.334907531738281, mean_queue:7.588889122009277
intersection:42, mean_episode_reward:-2.5020830631256104, mean_queue:1.5888888835906982
intersection:43, mean_episode_reward:-12.3041410446167, mean_queue:25.997222900390625
intersection:44, mean_episode_reward:-8.27430534362793, mean_queue:24.188888549804688
intersection:45, mean_episode_reward:-14.50004768371582, mean_queue:14.98611068725586
intersection:46, mean_episode_reward:-3.8941659927368164, mean_queue:2.319444417953491
intersection:47, mean_episode_reward:-9.444780349731445, mean_queue:8.20555591583252
intersection:48, mean_episode_reward:-4.741824626922607, mean_queue:9.26388931274414
intersection:49, mean_episode_reward:-7.146111965179443, mean_queue:9.813888549804688
intersection:50, mean_episode_reward:-1.1301848888397217, mean_queue:0.25555557012557983
intersection:51, mean_episode_reward:-5.215555191040039, mean_queue:4.219444274902344
intersection:52, mean_episode_reward:0.0, mean_queue:0.8666666746139526
intersection:53, mean_episode_reward:-1.3959994316101074, mean_queue:2.4749999046325684
intersection:54, mean_episode_reward:-2.9888885021209717, mean_queue:0.949999988079071
intersection:55, mean_episode_reward:-13.223472595214844, mean_queue:8.480555534362793
intersection:56, mean_episode_reward:-5.436034202575684, mean_queue:8.225000381469727
intersection:57, mean_episode_reward:-6.630486488342285, mean_queue:16.81944465637207
intersection:58, mean_episode_reward:-6.422221660614014, mean_queue:3.219444513320923
step:3600/3600, q_loss:0.2309764176607132, rewards:-556.512890625, queue:12.43846516007533, delay:0.2179270254016596, throughput:3143
episode:3/10, real avg travel time:652.5189309576838
intersection:0, mean_episode_reward:-6.204063415527344, mean_queue:13.48611068725586
intersection:1, mean_episode_reward:-13.703779220581055, mean_queue:10.572221755981445
intersection:2, mean_episode_reward:-45.17755126953125, mean_queue:49.891666412353516
intersection:3, mean_episode_reward:-11.308751106262207, mean_queue:8.19444465637207
intersection:4, mean_episode_reward:-0.4702379107475281, mean_queue:0.2805555462837219
