step:3600/3600, q_loss:1.890210747718811, rewards:-717.4256510416667, queue:13.602306967984934, delay:0.23082647808527543, throughput:5093
episode:0/100, real avg travel time:847.7851953661889
intersection:0, mean_episode_reward:-1.926041841506958, mean_queue:4.574999809265137
intersection:1, mean_episode_reward:-9.929555892944336, mean_queue:10.894444465637207
intersection:2, mean_episode_reward:-39.48374557495117, mean_queue:40.81666564941406
intersection:3, mean_episode_reward:-4.107916831970215, mean_queue:3.4194445610046387
intersection:4, mean_episode_reward:-0.7433326840400696, mean_queue:0.5583333373069763
intersection:5, mean_episode_reward:-4.521190166473389, mean_queue:5.425000190734863
intersection:6, mean_episode_reward:-8.442973136901855, mean_queue:12.408333778381348
intersection:7, mean_episode_reward:-5.974445343017578, mean_queue:12.01388931274414
intersection:8, mean_episode_reward:-4.171973705291748, mean_queue:6.338889122009277
intersection:9, mean_episode_reward:-46.14350509643555, mean_queue:24.919445037841797
intersection:10, mean_episode_reward:-39.775875091552734, mean_queue:27.119443893432617
intersection:11, mean_episode_reward:-12.997504234313965, mean_queue:8.733333587646484
intersection:12, mean_episode_reward:-7.673336505889893, mean_queue:6.241666793823242
intersection:13, mean_episode_reward:-28.77927589416504, mean_queue:42.22222137451172
intersection:14, mean_episode_reward:-11.429999351501465, mean_queue:5.777777671813965
intersection:15, mean_episode_reward:-15.316473007202148, mean_queue:40.261112213134766
intersection:16, mean_episode_reward:-10.357330322265625, mean_queue:12.899999618530273
intersection:17, mean_episode_reward:-1.478147029876709, mean_queue:2.2249999046325684
intersection:18, mean_episode_reward:-8.76653003692627, mean_queue:11.36388874053955
intersection:19, mean_episode_reward:-5.907708168029785, mean_queue:7.894444465637207
intersection:20, mean_episode_reward:-5.760001182556152, mean_queue:8.98611068725586
intersection:21, mean_episode_reward:-4.168655872344971, mean_queue:8.63888931274414
intersection:22, mean_episode_reward:-7.577880859375, mean_queue:15.530555725097656
intersection:23, mean_episode_reward:-6.611252307891846, mean_queue:9.899999618530273
intersection:24, mean_episode_reward:-1.3241664171218872, mean_queue:2.633333444595337
intersection:25, mean_episode_reward:-12.66028118133545, mean_queue:19.169445037841797
intersection:26, mean_episode_reward:-14.963892936706543, mean_queue:8.458333015441895
intersection:27, mean_episode_reward:-5.065244674682617, mean_queue:9.061111450195312
intersection:28, mean_episode_reward:-38.34589385986328, mean_queue:30.125
intersection:29, mean_episode_reward:-37.215553283691406, mean_queue:27.933332443237305
intersection:30, mean_episode_reward:-10.798812866210938, mean_queue:13.397222518920898
intersection:31, mean_episode_reward:-9.985715866088867, mean_queue:17.238889694213867
intersection:32, mean_episode_reward:-9.336668968200684, mean_queue:5.983333110809326
intersection:33, mean_episode_reward:-23.879335403442383, mean_queue:59.530555725097656
intersection:34, mean_episode_reward:-7.71169376373291, mean_queue:21.19444465637207
intersection:35, mean_episode_reward:-3.1627776622772217, mean_queue:4.713889122009277
intersection:36, mean_episode_reward:-2.7333335876464844, mean_queue:1.2138888835906982
intersection:37, mean_episode_reward:-10.702665328979492, mean_queue:8.30555534362793
intersection:38, mean_episode_reward:-5.769258499145508, mean_queue:7.7166666984558105
intersection:39, mean_episode_reward:-6.422741889953613, mean_queue:14.977777481079102
intersection:40, mean_episode_reward:-6.246224403381348, mean_queue:7.313889026641846
intersection:41, mean_episode_reward:-8.557449340820312, mean_queue:13.675000190734863
intersection:42, mean_episode_reward:-4.006389141082764, mean_queue:3.1583333015441895
intersection:43, mean_episode_reward:-6.468667030334473, mean_queue:15.605555534362793
intersection:44, mean_episode_reward:-5.090137958526611, mean_queue:12.233333587646484
intersection:45, mean_episode_reward:-13.324755668640137, mean_queue:18.51944351196289
intersection:46, mean_episode_reward:-9.556665420532227, mean_queue:7.05555534362793
