step:3600/3600, q_loss:0.6211162805557251, rewards:-714.8736979166666, queue:15.133804143126177, delay:0.25350606167608286, throughput:4075
episode:0/10, real avg travel time:798.638773006135
intersection:0, mean_episode_reward:-11.671354293823242, mean_queue:31.08888816833496
intersection:1, mean_episode_reward:-12.57555103302002, mean_queue:11.33055591583252
intersection:2, mean_episode_reward:-22.892457962036133, mean_queue:21.255556106567383
intersection:3, mean_episode_reward:-15.394582748413086, mean_queue:11.941666603088379
intersection:4, mean_episode_reward:-2.767857313156128, mean_queue:3.0361111164093018
intersection:5, mean_episode_reward:-3.2229769229888916, mean_queue:5.047222137451172
intersection:6, mean_episode_reward:-8.743330001831055, mean_queue:12.911110877990723
intersection:7, mean_episode_reward:-8.031250953674316, mean_queue:16.09166717529297
intersection:8, mean_episode_reward:-6.719386100769043, mean_queue:10.313888549804688
intersection:9, mean_episode_reward:-10.28370475769043, mean_queue:5.358333110809326
intersection:10, mean_episode_reward:-9.683176040649414, mean_queue:5.936110973358154
intersection:11, mean_episode_reward:-13.602779388427734, mean_queue:9.177778244018555
intersection:12, mean_episode_reward:-6.6757683753967285, mean_queue:5.188889026641846
intersection:13, mean_episode_reward:-35.088985443115234, mean_queue:51.19722366333008
intersection:14, mean_episode_reward:-18.422229766845703, mean_queue:9.208333015441895
intersection:15, mean_episode_reward:-10.429716110229492, mean_queue:28.288888931274414
intersection:16, mean_episode_reward:-18.099546432495117, mean_queue:22.622222900390625
intersection:17, mean_episode_reward:-1.3288886547088623, mean_queue:2.019444465637207
intersection:18, mean_episode_reward:-9.758891105651855, mean_queue:13.302778244018555
intersection:19, mean_episode_reward:-9.571320533752441, mean_queue:12.377778053283691
intersection:20, mean_episode_reward:-9.115351676940918, mean_queue:14.572221755981445
intersection:21, mean_episode_reward:-6.674769401550293, mean_queue:14.188888549804688
intersection:22, mean_episode_reward:-7.292950630187988, mean_queue:14.644444465637207
intersection:23, mean_episode_reward:-11.21423625946045, mean_queue:12.072221755981445
intersection:24, mean_episode_reward:-2.445833683013916, mean_queue:4.10277795791626
intersection:25, mean_episode_reward:-17.91721534729004, mean_queue:23.48055648803711
intersection:26, mean_episode_reward:-14.16315746307373, mean_queue:6.813889026641846
intersection:27, mean_episode_reward:-6.92031717300415, mean_queue:12.05555534362793
intersection:28, mean_episode_reward:-25.5620059967041, mean_queue:21.7277774810791
intersection:29, mean_episode_reward:-37.124820709228516, mean_queue:27.863889694213867
intersection:30, mean_episode_reward:-12.229762077331543, mean_queue:15.94444465637207
intersection:31, mean_episode_reward:-11.555078506469727, mean_queue:19.225000381469727
intersection:32, mean_episode_reward:-2.490556240081787, mean_queue:2.2083332538604736
intersection:33, mean_episode_reward:-40.56700897216797, mean_queue:101.5111083984375
intersection:34, mean_episode_reward:-8.064083099365234, mean_queue:21.98611068725586
intersection:35, mean_episode_reward:-1.730739712715149, mean_queue:2.63611102104187
intersection:36, mean_episode_reward:-4.270333290100098, mean_queue:3.5527777671813965
intersection:37, mean_episode_reward:-14.060491561889648, mean_queue:12.566666603088379
intersection:38, mean_episode_reward:-5.698335647583008, mean_queue:8.100000381469727
intersection:39, mean_episode_reward:-11.59298324584961, mean_queue:27.077777862548828
intersection:40, mean_episode_reward:-6.3826727867126465, mean_queue:7.7833333015441895
intersection:41, mean_episode_reward:-6.771572589874268, mean_queue:9.36388874053955
intersection:42, mean_episode_reward:-2.39097261428833, mean_queue:1.9277777671813965
intersection:43, mean_episode_reward:-11.165410995483398, mean_queue:25.922222137451172
intersection:44, mean_episode_reward:-4.043402671813965, mean_queue:11.061111450195312
intersection:45, mean_episode_reward:-5.0968241691589355, mean_queue:8.04444408416748
intersection:46, mean_episode_reward:-11.393888473510742, mean_queue:8.144444465637207
intersection:47, mean_episode_reward:-17.89121437072754, mean_queue:17.53611183166504
intersection:48, mean_episode_reward:-5.807940483093262, mean_queue:11.152777671813965
intersection:49, mean_episode_reward:-11.346110343933105, mean_queue:11.38888931274414
intersection:50, mean_episode_reward:-24.812036514282227, mean_queue:37.31388854980469
intersection:51, mean_episode_reward:0.0, mean_queue:0.0
intersection:52, mean_episode_reward:-0.8238887190818787, mean_queue:0.8222222328186035
intersection:53, mean_episode_reward:-2.3866705894470215, mean_queue:1.9972221851348877
intersection:54, mean_episode_reward:-7.831112384796143, mean_queue:3.058333396911621
intersection:55, mean_episode_reward:-43.0916633605957, mean_queue:27.725000381469727
intersection:56, mean_episode_reward:-5.7240471839904785, mean_queue:9.019444465637207
intersection:57, mean_episode_reward:-9.699374198913574, mean_queue:20.244443893432617
intersection:58, mean_episode_reward:-52.56111145019531, mean_queue:26.363889694213867
step:3600/3600, q_loss:0.5696132183074951, rewards:-593.6014322916667, queue:12.639924670433144, delay:0.2231134504472693, throughput:5332
episode:1/10, real avg travel time:616.630720180045
intersection:0, mean_episode_reward:-11.97500228881836, mean_queue:31.936111450195312
intersection:1, mean_episode_reward:-25.60434913635254, mean_queue:16.919445037841797
intersection:2, mean_episode_reward:-50.23920822143555, mean_queue:52.266666412353516
intersection:3, mean_episode_reward:-8.078957557678223, mean_queue:6.122222423553467
intersection:4, mean_episode_reward:-0.5030953884124756, mean_queue:0.36944442987442017
intersection:5, mean_episode_reward:-5.813570976257324, mean_queue:9.163888931274414
intersection:6, mean_episode_reward:-8.05628490447998, mean_queue:11.94444465637207
intersection:7, mean_episode_reward:-6.438610076904297, mean_queue:12.875
intersection:8, mean_episode_reward:-6.926673889160156, mean_queue:10.627778053283691
intersection:9, mean_episode_reward:-2.385925531387329, mean_queue:1.380555510520935
intersection:10, mean_episode_reward:-6.553497314453125, mean_queue:4.016666889190674
intersection:11, mean_episode_reward:-3.404582977294922, mean_queue:2.805555582046509
intersection:12, mean_episode_reward:-8.97221565246582, mean_queue:7.191666603088379
intersection:13, mean_episode_reward:-19.29306411743164, mean_queue:27.799999237060547
intersection:14, mean_episode_reward:-5.918887615203857, mean_queue:2.9666666984558105
intersection:15, mean_episode_reward:-12.80849838256836, mean_queue:35.01944351196289
intersection:16, mean_episode_reward:-5.8933329582214355, mean_queue:7.3222222328186035
intersection:17, mean_episode_reward:-2.0309255123138428, mean_queue:3.055555582046509
intersection:18, mean_episode_reward:-4.949721813201904, mean_queue:8.827777862548828
intersection:19, mean_episode_reward:-11.891595840454102, mean_queue:14.708333015441895
intersection:20, mean_episode_reward:-2.962916851043701, mean_queue:5.47777795791626
intersection:21, mean_episode_reward:-10.109678268432617, mean_queue:20.549999237060547
intersection:22, mean_episode_reward:-2.7959015369415283, mean_queue:5.652777671813965
intersection:23, mean_episode_reward:-11.35611343383789, mean_queue:12.425000190734863
intersection:24, mean_episode_reward:-3.03291654586792, mean_queue:5.280555725097656
intersection:25, mean_episode_reward:-26.728151321411133, mean_queue:35.29166793823242
intersection:26, mean_episode_reward:-9.605551719665527, mean_queue:4.80555534362793
intersection:27, mean_episode_reward:-4.964135646820068, mean_queue:9.383333206176758
intersection:28, mean_episode_reward:-5.386876106262207, mean_queue:4.861111164093018
intersection:29, mean_episode_reward:-28.85111427307129, mean_queue:21.686111450195312
intersection:30, mean_episode_reward:-11.711785316467285, mean_queue:15.058333396911621
intersection:31, mean_episode_reward:-7.453174591064453, mean_queue:12.533333778381348
intersection:32, mean_episode_reward:-6.881890773773193, mean_queue:5.594444274902344
intersection:33, mean_episode_reward:-19.168664932250977, mean_queue:47.80555725097656
intersection:34, mean_episode_reward:-8.894165992736816, mean_queue:25.119443893432617
intersection:35, mean_episode_reward:-1.0592596530914307, mean_queue:1.7027777433395386
intersection:36, mean_episode_reward:-6.057004928588867, mean_queue:4.64722204208374
intersection:37, mean_episode_reward:-23.809955596923828, mean_queue:17.6027774810791
intersection:38, mean_episode_reward:-6.820925712585449, mean_queue:9.505555152893066
intersection:39, mean_episode_reward:-10.310358047485352, mean_queue:24.08333396911621
intersection:40, mean_episode_reward:-6.476666450500488, mean_queue:7.688889026641846
intersection:41, mean_episode_reward:-10.770879745483398, mean_queue:16.48611068725586
intersection:42, mean_episode_reward:-2.992360830307007, mean_queue:2.5999999046325684
intersection:43, mean_episode_reward:-13.857457160949707, mean_queue:32.70833206176758
intersection:44, mean_episode_reward:-4.008749008178711, mean_queue:13.36388874053955
intersection:45, mean_episode_reward:-4.08313512802124, mean_queue:4.550000190734863
intersection:46, mean_episode_reward:-5.981389045715332, mean_queue:4.019444465637207
intersection:47, mean_episode_reward:-18.982114791870117, mean_queue:19.405555725097656
intersection:48, mean_episode_reward:-4.252976417541504, mean_queue:8.747221946716309
intersection:49, mean_episode_reward:-2.8713877201080322, mean_queue:2.9083333015441895
intersection:50, mean_episode_reward:-2.392221689224243, mean_queue:3.6222221851348877
intersection:51, mean_episode_reward:-1.835278034210205, mean_queue:1.8444443941116333
intersection:52, mean_episode_reward:-0.7674998641014099, mean_queue:0.7638888955116272
intersection:53, mean_episode_reward:-1.1039985418319702, mean_queue:0.8722222447395325
intersection:54, mean_episode_reward:-4.937221527099609, mean_queue:2.4638888835906982
intersection:55, mean_episode_reward:-27.845415115356445, mean_queue:16.674999237060547
intersection:56, mean_episode_reward:-3.372579574584961, mean_queue:5.711111068725586
intersection:57, mean_episode_reward:-7.041039943695068, mean_queue:17.705554962158203
intersection:58, mean_episode_reward:-54.3305549621582, mean_queue:27.233333587646484
step:3600/3600, q_loss:0.5784671902656555, rewards:-552.7214409722222, queue:12.085263653483992, delay:0.21813985533633476, throughput:5297
episode:2/10, real avg travel time:706.8459505380404
intersection:0, mean_episode_reward:-10.18947982788086, mean_queue:25.649999618530273
intersection:1, mean_episode_reward:-9.422892570495605, mean_queue:9.377778053283691
intersection:2, mean_episode_reward:-38.735774993896484, mean_queue:40.31944274902344
intersection:3, mean_episode_reward:-10.49062442779541, mean_queue:7.9277777671813965
intersection:4, mean_episode_reward:-0.8023812770843506, mean_queue:0.49166667461395264
intersection:5, mean_episode_reward:-4.67202091217041, mean_queue:7.455555438995361
intersection:6, mean_episode_reward:-6.571482181549072, mean_queue:9.850000381469727
intersection:7, mean_episode_reward:-6.5873637199401855, mean_queue:13.186111450195312
