step:3600/3600, q_loss:0.7424764633178711, rewards:-617.6664930555555, queue:13.40668549905838, delay:0.22777138690266008, throughput:3781
episode:0/10, real avg travel time:803.3052102618354
intersection:0, mean_episode_reward:-8.403229713439941, mean_queue:22.23055648803711
intersection:1, mean_episode_reward:-7.341662406921387, mean_queue:8.313888549804688
intersection:2, mean_episode_reward:-43.15745544433594, mean_queue:44.6694450378418
intersection:3, mean_episode_reward:-2.0727083683013916, mean_queue:1.5499999523162842
intersection:4, mean_episode_reward:-5.073331832885742, mean_queue:5.900000095367432
intersection:5, mean_episode_reward:-5.155594348907471, mean_queue:10.036110877990723
intersection:6, mean_episode_reward:-8.870553016662598, mean_queue:12.241666793823242
intersection:7, mean_episode_reward:-6.360416889190674, mean_queue:12.777777671813965
intersection:8, mean_episode_reward:-6.939635753631592, mean_queue:10.416666984558105
intersection:9, mean_episode_reward:-5.277961730957031, mean_queue:2.6666667461395264
intersection:10, mean_episode_reward:-3.762540102005005, mean_queue:2.7861111164093018
intersection:11, mean_episode_reward:-4.620141506195068, mean_queue:3.2138888835906982
intersection:12, mean_episode_reward:-7.5955586433410645, mean_queue:5.919444561004639
intersection:13, mean_episode_reward:-30.68754005432129, mean_queue:41.497222900390625
intersection:14, mean_episode_reward:-20.41166877746582, mean_queue:10.199999809265137
intersection:15, mean_episode_reward:-13.269855499267578, mean_queue:35.0444450378418
intersection:16, mean_episode_reward:-6.11377477645874, mean_queue:7.625
intersection:17, mean_episode_reward:-0.9222217798233032, mean_queue:1.4055556058883667
intersection:18, mean_episode_reward:-8.451773643493652, mean_queue:14.541666984558105
intersection:19, mean_episode_reward:-7.31159782409668, mean_queue:9.322221755981445
intersection:20, mean_episode_reward:-3.63992977142334, mean_queue:5.686110973358154
intersection:21, mean_episode_reward:-1.5679165124893188, mean_queue:3.375
intersection:22, mean_episode_reward:-7.556978225708008, mean_queue:15.161110877990723
intersection:23, mean_episode_reward:-9.165348052978516, mean_queue:10.852777481079102
intersection:24, mean_episode_reward:-1.0569446086883545, mean_queue:1.8722221851348877
intersection:25, mean_episode_reward:-2.188565969467163, mean_queue:3.308333396911621
intersection:26, mean_episode_reward:-11.274441719055176, mean_queue:5.7833333015441895
intersection:27, mean_episode_reward:-6.592720985412598, mean_queue:12.800000190734863
intersection:28, mean_episode_reward:-31.56174087524414, mean_queue:31.91666603088379
intersection:29, mean_episode_reward:-35.173702239990234, mean_queue:26.38888931274414
intersection:30, mean_episode_reward:-11.988571166992188, mean_queue:19.219444274902344
intersection:31, mean_episode_reward:-5.0200018882751465, mean_queue:8.538888931274414
intersection:32, mean_episode_reward:-7.116442680358887, mean_queue:5.797222137451172
intersection:33, mean_episode_reward:-34.5992431640625, mean_queue:86.59444427490234
intersection:34, mean_episode_reward:-7.311360836029053, mean_queue:21.5
intersection:35, mean_episode_reward:-3.0737037658691406, mean_queue:4.633333206176758
intersection:36, mean_episode_reward:-9.5649995803833, mean_queue:5.611111164093018
intersection:37, mean_episode_reward:-18.31715965270996, mean_queue:15.605555534362793
intersection:38, mean_episode_reward:-4.626298904418945, mean_queue:6.69444465637207
intersection:39, mean_episode_reward:-9.318451881408691, mean_queue:21.78333282470703
intersection:40, mean_episode_reward:-5.312211990356445, mean_queue:6.030555725097656
intersection:41, mean_episode_reward:-3.289027690887451, mean_queue:4.69444465637207
intersection:42, mean_episode_reward:-7.374305725097656, mean_queue:6.722222328186035
intersection:43, mean_episode_reward:-3.957465887069702, mean_queue:7.988888740539551
intersection:44, mean_episode_reward:-4.0547919273376465, mean_queue:8.927778244018555
intersection:45, mean_episode_reward:-19.615196228027344, mean_queue:27.691667556762695
intersection:46, mean_episode_reward:-10.999167442321777, mean_queue:8.519444465637207
intersection:47, mean_episode_reward:-14.937216758728027, mean_queue:14.438888549804688
intersection:48, mean_episode_reward:-4.69698429107666, mean_queue:10.177778244018555
intersection:49, mean_episode_reward:-8.444442749023438, mean_queue:8.480555534362793
intersection:50, mean_episode_reward:-28.61965560913086, mean_queue:43.016666412353516
intersection:51, mean_episode_reward:-1.6530554294586182, mean_queue:1.663888931274414
intersection:52, mean_episode_reward:-0.8216665387153625, mean_queue:0.8194444179534912
intersection:53, mean_episode_reward:-1.5930001735687256, mean_queue:1.3250000476837158
intersection:54, mean_episode_reward:-10.561111450195312, mean_queue:5.150000095367432
intersection:55, mean_episode_reward:-45.436527252197266, mean_queue:30.122222900390625
intersection:56, mean_episode_reward:-3.2757976055145264, mean_queue:5.463889122009277
intersection:57, mean_episode_reward:-7.487775802612305, mean_queue:17.747222900390625
intersection:58, mean_episode_reward:-13.023335456848145, mean_queue:6.5333333015441895
step:3600/3600, q_loss:0.7170976400375366, rewards:-587.4032552083333, queue:12.547928436911487, delay:0.21165766886623116, throughput:4411
episode:1/10, real avg travel time:710.6683291770573
intersection:0, mean_episode_reward:-5.907082557678223, mean_queue:15.427778244018555
intersection:1, mean_episode_reward:-2.3789994716644287, mean_queue:2.616666555404663
intersection:2, mean_episode_reward:-45.42347717285156, mean_queue:46.891666412353516
intersection:3, mean_episode_reward:-1.3622918128967285, mean_queue:1.2611111402511597
intersection:4, mean_episode_reward:-0.42904770374298096, mean_queue:0.5
intersection:5, mean_episode_reward:-3.696547031402588, mean_queue:7.733333110809326
intersection:6, mean_episode_reward:-9.074067115783691, mean_queue:13.375
intersection:7, mean_episode_reward:-5.647360324859619, mean_queue:11.258333206176758
intersection:8, mean_episode_reward:-8.181968688964844, mean_queue:12.727777481079102
intersection:9, mean_episode_reward:-21.03129768371582, mean_queue:10.76111125946045
intersection:10, mean_episode_reward:-15.274764060974121, mean_queue:10.425000190734863
intersection:11, mean_episode_reward:-1.672917127609253, mean_queue:1.399999976158142
intersection:12, mean_episode_reward:-1.8498876094818115, mean_queue:1.4111111164093018
intersection:13, mean_episode_reward:-22.01283836364746, mean_queue:28.552778244018555
intersection:14, mean_episode_reward:-21.919998168945312, mean_queue:10.922222137451172
intersection:15, mean_episode_reward:-17.600019454956055, mean_queue:45.69722366333008
intersection:16, mean_episode_reward:-3.6144471168518066, mean_queue:4.497222423553467
intersection:17, mean_episode_reward:-0.5042594075202942, mean_queue:0.769444465637207
intersection:18, mean_episode_reward:-4.024479389190674, mean_queue:6.52222204208374
intersection:19, mean_episode_reward:-6.257223129272461, mean_queue:8.466666221618652
intersection:20, mean_episode_reward:-4.260972499847412, mean_queue:6.1972222328186035
intersection:21, mean_episode_reward:-4.011948108673096, mean_queue:9.591666221618652
intersection:22, mean_episode_reward:-6.304027080535889, mean_queue:12.81944465637207
intersection:23, mean_episode_reward:-7.282293796539307, mean_queue:8.405555725097656
intersection:24, mean_episode_reward:-1.2041665315628052, mean_queue:1.6583333015441895
intersection:25, mean_episode_reward:-1.1163887977600098, mean_queue:0.7416666746139526
intersection:26, mean_episode_reward:-8.533516883850098, mean_queue:4.400000095367432
intersection:27, mean_episode_reward:-4.806605815887451, mean_queue:10.20555591583252
intersection:28, mean_episode_reward:-11.028121948242188, mean_queue:10.713889122009277
intersection:29, mean_episode_reward:-39.21665573120117, mean_queue:29.424999237060547
intersection:30, mean_episode_reward:-18.368328094482422, mean_queue:23.4777774810791
intersection:31, mean_episode_reward:-11.293803215026855, mean_queue:19.797222137451172
intersection:32, mean_episode_reward:-3.311777114868164, mean_queue:2.73888897895813
intersection:33, mean_episode_reward:-29.877655029296875, mean_queue:74.70833587646484
intersection:34, mean_episode_reward:-8.907973289489746, mean_queue:27.008333206176758
intersection:35, mean_episode_reward:-1.609999418258667, mean_queue:2.4388887882232666
intersection:36, mean_episode_reward:-0.09499999135732651, mean_queue:0.07777778059244156
intersection:37, mean_episode_reward:-10.194167137145996, mean_queue:9.191666603088379
intersection:38, mean_episode_reward:-3.8579657077789307, mean_queue:5.311110973358154
intersection:39, mean_episode_reward:-6.680952072143555, mean_queue:15.627778053283691
intersection:40, mean_episode_reward:-5.628654479980469, mean_queue:5.883333206176758
intersection:41, mean_episode_reward:-2.49041748046875, mean_queue:3.597222328186035
intersection:42, mean_episode_reward:-1.0580556392669678, mean_queue:0.7527777552604675
intersection:43, mean_episode_reward:-7.461078643798828, mean_queue:16.344444274902344
intersection:44, mean_episode_reward:-4.859930038452148, mean_queue:11.366666793823242
intersection:45, mean_episode_reward:-21.934492111206055, mean_queue:35.50833511352539
intersection:46, mean_episode_reward:-9.11361312866211, mean_queue:7.827777862548828
intersection:47, mean_episode_reward:-12.501338958740234, mean_queue:12.144444465637207
intersection:48, mean_episode_reward:-5.295949459075928, mean_queue:10.95555591583252
intersection:49, mean_episode_reward:-7.798889636993408, mean_queue:7.866666793823242
intersection:50, mean_episode_reward:-16.05074119567871, mean_queue:24.21666717529297
intersection:51, mean_episode_reward:-3.6944448947906494, mean_queue:3.694444417953491
intersection:52, mean_episode_reward:-0.5666666626930237, mean_queue:0.5666666626930237
intersection:53, mean_episode_reward:-1.4706658124923706, mean_queue:1.225000023841858
intersection:54, mean_episode_reward:-13.508333206176758, mean_queue:6.150000095367432
intersection:55, mean_episode_reward:-41.88208770751953, mean_queue:27.872222900390625
intersection:56, mean_episode_reward:-6.136509418487549, mean_queue:11.108333587646484
intersection:57, mean_episode_reward:-7.084444999694824, mean_queue:17.9777774810791
intersection:58, mean_episode_reward:-39.04167175292969, mean_queue:19.516666412353516
